index,mon_name,normal,fire,water,grass,electric,ice,psychic,dark,bug,fighting,flying,poison,ground,rock,steel,ghost,dragon
50,diglett,102,,,,,,,40,,20,,90,100,,,,
51,dugtrio,102,,,,,,,40,,20,,90,100,,,,
52,meowth,102,,,,95,52.25,100,60,,,,,20,,75,80,
53,persian,102,,,,95,52.25,100,60,,,,,20,,75,80,
54,psyduck,102,,96,,,95,50,,,50,,,30,,,,
55,golduck,102,,96,,,95,50,,9.5,50,,,30,,,,
56,mankey,102,75,,,95,75,,40,,80,,,30,,75,,
57,primeape,102,75,,,95,75,,40,,80,,,30,,75,,
58,growlithe,102,102,,,,,,60,,20,,,30,,75,,60
59,arcanine,102,102,,,,,,60,,20,,,30,,75,,60
60,poliwag,102,,96,,,95,90,40,,,,,,,,,
61,poliwhirl,102,,96,,,95,90,40,,20,,,100,,,,
62,poliwrath,102,,96,,,95,90,40,,64,,,100,,,,
63,abra,102,75,,,75,75,90,40,,50,,,,,,80,
64,kadabra,102,75,,,75,75,100,40,,50,,,,,,80,
65,alakazam,102,75,,,75,75,100,40,,50,,,,,,80,
66,machop,102,102,,,75,75,,40,,80,,,100,,,,
67,machoke,102,102,,,75,75,,40,,80,,,100,,,,
68,machamp,102,102,,,75,75,,40,,80,,,100,,,,
69,bellsprout,102,,,60,,,,,,,,90,,,,,
70,weepinbell,102,,,60,,,,,,,,90,,,,,
71,victreebel,102,,,60,,,,,,,,90,,,,,
72,tentacool,102,,96,60,,95,,,,,,90,,,,,
73,tentacruel,102,,96,60,,95,,,,,,90,,,,,
74,geodude,250,102,,,,,,,9.5,50,,,100,45,,,
75,graveler,250,102,,,,,,,9.5,50,,,100,45,,,
76,golem,250,102,,,,,,,9.5,50,,,100,45,,,
77,ponyta,102,102,,,,,,,,,,,,,75,,
78,rapidash,102,102,,,,,,,,,,,,,75,,
79,slowpoke,102,102,95,,50,95,100,,9.5,20,,,100,,75,80,
80,slowbro,102,102,95,,50,95,100,,9.5,20,,,100,,75,80,
81,magnemite,102,,,,95,,,,,,,,27,,,,
82,magneton,102,,,,95,,,,,,,,27,,,,
83,farfetchd,102,,,,,,,40,,,35,,20,,75,,
84,doduo,102,,,,,,,40,,,80,,20,,63,,
85,dodrio,102,,,,,,,40,,,80,,20,,63,,
86,seel,102,,95,,,95,,,,,,,,,,,
87,dewgong,102,,95,,,95,,,,,,,,,,,
88,grimer,102,102,,60,95,75,,40,,50,,90,20,,,,
89,muk,102,102,,60,95,75,,40,,50,,90,20,,,,
90,shellder,102,,95,,,95,,,,,,,,,,,
91,cloyster,102,,95,,,95,,,,,,,,,,,
92,gastly,102,,,60,95,,100,40,,,,,,,,80,
93,haunter,102,,,60,95,,100,40,,,,,,,,80,
94,gengar,102,75,,60,95,75,100,40,,50,,,,,,80,
95,onix,102,,,,,,,,,20,,,100,45,,,
96,drowzee,102,75,,,75,75,100,,,50,,,,,,80,
97,hypno,102,75,,,75,75,100,,,50,,,,,,80,
98,krabby,102,,95,,,95,,40,9.5,20,,,20,,,,
99,kingler,102,,95,,,95,,40,9.5,20,,,20,,,,
100,voltorb,250,,,,95,,,,,,,,,27,,,
101,electrode,250,,,,95,,,,,,,,,27,,,
102,exeggcute,102,,,60,,,100,40,,,,90,,27,,,
103,exeggcutor,102,,,60,,,100,40,,,,90,,27,,,
104,cubone,102,102,,,75,84,,40,,50,,,100,,75,,
105,marowak,102,102,,,75,84,,40,,50,,,100,,75,,
106,hitmonlee,102,,,,,,,40,,76.5,,,20,,,,
107,hitmonchan,102,75,,,75,75,,40,,50,,,20,,,,
108,lickitung,102,102,95,,84,84,100,40,,50,,,100,27,75,80,
109,koffing,250,102,,,84,,,40,,,,90,,27,,,
110,weezing,250,102,,,84,,,40,,,,90,,27,,,
111,rhyhorn,102,102,,,84,84,,,,20,,,100,27,75,,
112,rhydon,102,102,95,,84,84,,,9.5,20,,,100,27,75,,
113,chansey,120,102,,60,84,84,100,,,20,,,20,27,75,80,
114,tangela,102,,,60,,,,40,,,,90,,,,,
115,kangaskhan,102,102,95,,84,84,,60,9.5,50,,,100,,75,80,
116,horsea,102,,96,,,84,,,,,,,,,,,60
117,seadra,102,,96,,,84,,,,,,,,,,,60
118,goldeen,102,,95,,,84,,,,,35,,,,,,
119,seaking,102,,95,,,84,,,,,35,,,,,,
120,staryu,102,,96,,95,95,100,,,,,,,,,,
121,starmie,102,,96,,95,95,100,,,,,,,,,,
122,mr. mime,102,75,,60,95,75,100,40,,50,,,20,,,80,
123,scyther,102,,,,,,,40,9.5,20,60,,,,63,,
124,jynx,102,,,,,95,100,40,,50,,,20,,,80,
125,electabuzz,102,75,,,95,75,90,40,,50,,,20,,75,,
126,magmar,102,102,,,,75,90,40,,50,,14,20,,75,,
127,pinsir,102,,,,,,,40,9.5,64,,,,,,,
128,tauros,102,95,95,,95,95,,40,,20,,,100,,75,,
129,magikarp,33.25,,,,,,,,,,,,,,,,
130,gyarados,102,95,95,,95,95,,,,20,,,,,,,60
131,lapras,102,,96,,95,95,100,,,20,,,,,,,60
132,ditto,,,,,,,,,,,,,,,,,
133,eevee,102,,,,,,,60,,,,,20,,75,80,
134,vaporeon,102,,96,,,95,,60,,,,,20,,75,80,
135,jolteon,102,,,,95,,,60,35.7,60,,,20,,75,80,
136,flareon,102,102,,,50,,,60,,,,14,20,,75,80,
137,porygon,102,,,,95,95,100,40,,,,,,,75,,
142,aerodactyl,102,102,,,,,,60,,20,60,,100,60,75,,60
143,snorlax,102,102,95,60,95,95,90,,,50,,,100,27,,80,
147,dratini,102,102,95,,95,95,,,,,,,,,75,,90
148,dragonair,102,102,95,,95,95,,,,,,,,,75,,90
149,dragonite,102,102,95,,95,95,,,9.5,50,60,,20,,75,,90
152,chikorita,102,,,60,,,,,9.5,20,,,20,,75,,
153,bayleef,102,,,60,,,,,9.5,20,,,20,,75,,
154,meganium,102,,,60,,,,,9.5,20,,,100,,75,,
155,cyndaquil,102,102,,,,,,,,,,,30,27,75,,
156,quilava,102,102,,,,,,,,,,,30,27,75,,
157,typhlosion,102,102,,,,75,,,,50,,,30,27,75,,
158,totodile,102,,96,,,95,,60,9.5,50,,,100,,75,,
159,croconaw,102,,96,,,95,,60,9.5,50,,,100,,75,,
160,feraligatr,102,,96,,,95,,60,9.5,50,,,100,,75,,
161,sentret,102,75,95,,75,75,,40,9.5,50,,,30,27,75,80,
162,furret,102,75,95,,75,75,,40,9.5,50,,,30,27,75,80,
163,hoothoot,102,,,,,,100,40,,35,,,20,,63,,
164,noctowl,102,,,,,,100,40,,35,,,20,,63,,
165,ledyba,120,,,60,75,75,,40,,50,,,30,27,,,
166,ledian,120,,,60,75,75,,40,,50,,,30,27,,,
167,spinarak,102,,,60,,,90,40,20,,,90,30,,,,
168,ariados,102,,,60,,,90,40,20,,,90,30,,,,
169,crobat,102,,,60,,,,60,20,,60,,,,63,,
170,chinchou,102,,96,,95,95,,,,,,,,,,,
171,lanturn,102,,96,,95,95,,,,,,,,,,,
172,pichu,102,,,,95,,,,,,,,20,27,75,,
173,cleffa,102,102,,60,50,52.25,100,,,,,,20,,75,80,
174,igglybuff,102,102,,60,50,52.25,100,,,,,,20,,75,80,
175,togepi,102,102,,60,50,52.25,100,,,20,,,20,,75,80,
176,togetic,102,102,,60,50,52.25,100,,,20,33.25,,20,,75,80,
177,natu,102,,,60,,,100,40,,,35,,,,,,
178,xatu,102,,,60,,,100,40,,,35,,,,,,
179,mareep,102,75,,,95,,,,,20,,,,,75,,
180,flaaffy,102,75,,,95,,,,,20,,,,,75,,
181,ampharos,102,75,,,95,,,,,50,,,,,75,,
182,bellossom,102,,,70,,,,,,,,90,,,,,
183,marill,120,,95,,,95,,,,50,,,20,27,75,,
184,azumarill,120,,95,,,95,,,,50,,,20,27,75,,
185,sudowoodo,102,75,,,75,75,,60,,50,,,100,67.5,,,
186,politoed,102,,96,,,95,90,40,,50,,,100,,,,
187,hoppip,102,,,60,,,,,,,,,,,,,
188,skiploom,102,,,60,,,,,,,,,,,,,
189,jumpluff,102,,,60,,,,,,,,,,,,,
190,aipom,102,75,,,95,75,100,40,9.5,50,,,20,,75,80,
191,sunkern,102,,,60,,,,,,,,90,,,,,
192,sunflora,102,,,60,,,,,,,,90,,,,,
193,yanma,102,,,60,,,,40,,,60,,,,,,
194,wooper,102,,95,,,95,,,,50,,90,100,,75,,
195,quagsire,102,,95,,,95,,,,50,,90,100,,75,,
196,espeon,102,,,,50,,100,60,,,,,20,,75,80,
197,umbreon,102,,,,50,,100,60,,,,,20,,75,80,
198,murkrow,102,,,,,52.25,100,60,,,35,,20,,63,,
199,slowking,102,102,95,,50,95,100,,9.5,50,,,100,,75,80,
200,misdreavus,102,,,,95,,100,40,,,,,,,,80,
201,unown,,,,,,,50.5,,,,,,,,,,
202,wobbuffet,,,,,,,,,,,,,,,,,
203,girafarig,102,,,,95,,100,80,,20,,,100,,75,80,
204,pineco,250,,,60,,,,,,20,,,,27,,,
205,forretress,250,,,60,,,,,,20,,,,27,,,
206,dunsparce,102,95,,60,95,,100,40,,20,,,30,27,75,,
207,gligar,102,,,,,,,60,9.5,20,,90,,,75,,
208,steelix,102,,,,,,,80,,20,,,100,45,,,60
209,snubbull,102,75,,,95,75,,60,,50,,90,20,,,80,
210,granbull,102,75,,,95,75,,60,,50,,90,20,,,80,
211,qwilfish,102,,96,,,95,,,35.7,,,90,,27,,,
212,scizor,102,,,,,,,40,9.5,20,60,,,,63,,
213,shuckle,102,,,,,,,,,20,,90,100,27,,,
214,heracross,102,,,,,,,40,102,20,,,100,,,,
215,sneasel,102,,95,,,95,100,60,9.5,50,,,30,,75,80,
216,teddiursa,102,75,,,75,75,,60,9.5,50,,,100,27,,20,
217,ursaring,102,75,,,75,75,,60,9.5,50,,,100,27,,20,
218,slugma,102,102,,,,,,,,20,,20,20,67.5,,,
219,magcargo,102,102,,,,,,,,20,,20,100,67.5,,,
220,swinub,102,,,,,95,,,,20,,,100,,,,
221,piloswine,102,,,,,95,,,,20,,,100,,,,
222,corsola,102,95,,,,95,90,,,20,,,100,60,,,
223,remoraid,102,95,95,,,95,90,40,,,,,20,,,,
224,octillery,102,95,95,,,95,90,40,,,,,20,,,,
225,delibird,102,,,,,95,,40,,,33.25,,20,,,,
226,mantine,102,,95,,,95,,,,,60,,20,,,,
227,skarmory,102,,,,,,,40,,,35,,20,,63,,
228,houndour,102,102,,60,,,100,80,,20,,90,20,,75,80,
229,houndoom,102,102,,60,,,100,80,,20,,90,20,,75,80,
230,kingdra,102,,96,,,95,,,,,,,,,,,60
231,phanpy,120,,,,,,,,,20,,,100,27,,,
232,donphan,120,,,,,,,,,20,,,100,27,,,
233,porygon2,102,,,,95,95,100,40,,,,,,,75,,
234,stantler,102,,,,,,100,40,,,,,100,,,,
235,smeargle,250,102,96,70,95,95,100,80,102,76.5,95,90,100,67.5,75,80,60
236,tyrogue,102,,,,,,,40,,20,,,20,,,,
237,hitmontop,102,,,,,,,40,,51,,,30,,,,
238,smoochum,102,,,,,95,100,40,,50,,,20,,,80,
239,elekid,102,75,,,95,75,,40,,50,,,20,,,,
240,magby,102,102,,,75,,90,40,,50,,20,20,,75,,
241,miltank,102,75,95,,95,95,,,,50,,,100,27,75,80,
242,blissey,120,102,,60,95,95,100,,,50,,,20,27,,80,
243,raikou,102,,,,95,,,80,,20,,,30,,75,,
244,entei,102,102,,60,,,,60,,20,,,30,,75,,
245,suicune,102,,96,,,95,,60,,20,40,,30,,75,,
246,larvitar,102,,,,,,,80,,,,,100,67.5,,,
247,pupitar,102,,,,,,,80,,,,,100,67.5,,,
248,tyranitar,102,102,95,,95,95,,80,9.5,20,,,100,67.5,75,,60
249,lugia,102,95,96,60,95,95,100,,,20,95,,100,60,,80,60
250,ho-oh,102,102,,60,95,,100,,,20,40,,100,60,63,80,60
251,celebi,102,,,60,,,100,,,,,,20,60,,80,
