Index,Name,Level,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Move1,Move2,Move3,Move4
#022,Fearow,50,150,121,95,91,91,131,Drill Peck,Hyper Beam,Pursuit,Toxic
#023,Ekans,50,127,97,82,77,91,92,Sludge Bomb,Earthquake,Strength,Glare
#024,Arbok,50,145,116,99,95,109,111,Sludge Bomb,Bite,Dig,Glare
#025,Pikachu,50,125,90,66,85,75,126,Thunderbolt,Surf,Iron Tail,Thunder Wave
#026,Raichu,50,141,117,82,116,106,126,Thunder,Quick Attack,Thunder Wave,Tail Whip
#027,Sandshrew,50,140,110,121,55,65,76,Earthquake,Slash,Fury Cutter,Sandstorm
#028,Sandslash,50,156,127,137,71,81,91,Earthquake,Fury Swipes,Sand-attack,Sandstorm
#029,Nidoran♀,50,147,84,90,77,77,78,Headbutt,Iron Tail,Blizzard,Toxic
#030,Nidorina,50,157,95,99,87,87,88,Strength,Bite,Blizzard,Toxic
#031,Nidoqueen,50,171,109,114,101,111,102,Body Slam,Mud-slap,Ice Punch,Toxic
#032,Nidoran♂,50,138,94,78,77,77,87,Headbutt,Iron Tail,Thunder,Horn Drill
#033,Nidorino,50,148,105,89,87,87,97,Strength,Double Kick,Thunder,Horn Drill
#034,Nidoking,50,162,119,104,111,101,111,Horn Attack,Mud-slap,Thunder,Horn Drill
#035,Clefairy,50,160,80,84,95,100,71,Metronome,Strength,Psychic,Moonlight
#036,Clefable,50,176,97,100,111,116,86,Metronome,Headbutt,Ice Punch,Encore
#037,Vulpix,50,130,78,78,87,102,102,Flamethrower,Dig,Confuse Ray,Sunny Day
#038,Ninetales,50,151,99,98,104,123,122,Fire Blast,Quick Attack,Safeguard,Roar
#039,Jigglypuff,50,207,82,58,82,62,57,Body Slam,Rollout,Defense Curl,Sing
#040,Wigglytuff,50,225,101,75,105,80,76,Double-edge,Fire Punch,Disable,Sing
#041,Zubat,50,134,84,74,71,81,95,Wing Attack,Giga Drain,Confuse Ray,Toxic
#042,Golbat,50,156,107,97,91,101,116,Wing Attack,Bite,Steel Wing,Haze
#043,Oddish,50,135,85,91,110,100,66,Giga Drain,Sludge Bomb,Moonlight,Stun Spore
#044,Gloom,50,147,98,102,117,107,72,Solarbeam,Sludge Bomb,Sleep Powder,Sunny Day
#045,Vileplume,50,156,107,112,126,116,76,Petal Dance,Acid,Sweet Scent,Poisonpowder
#046,Paras,50,127,107,93,82,92,62,Giga Drain,Slash,Spore,Growth
#047,Parasect,50,145,126,110,90,110,61,Giga Drain,Slash,Fury Cutter,Spore
#048,Venonat,50,150,90,86,75,90,81,Sludge Bomb,Psychic,Supersonic,Stun Spore
#049,Venomoth,50,153,94,89,118,103,118,Sludge Bomb,Psychic,Leech Life,Foresight
#050,Diglett,50,102,92,63,72,82,132,Earthquake,Slash,Fissure,Sand-attack
#051,Dugtrio,50,120,111,80,80,100,151,Magnitude,Slash,Attract,Curse
#052,Meowth,50,132,82,73,77,77,127,Slash,Faint Attack,Shadow Ball,Screech
#053,Persian,50,150,101,90,95,95,146,Headbutt,Bite,Roar,Growl
#054,Psyduck,50,140,87,84,100,85,91,Surf,Dig,Swagger,Psych Up
#055,Golduck,50,158,105,101,118,103,107,Hydro Pump,Fury Swipes,Confusion,Psych Up
#056,Mankey,50,130,115,71,70,80,106,Cross Chop,Strength,Double Team,Screech
#057,Primeape,50,146,132,87,86,96,121,Cross Chop,Thrash,Curse,Focus Energy
#058,Growlithe,50,142,103,77,102,82,92,Flamethrower,Dig,Sunny Day,Roar
#059,Arcanine,50,164,129,99,119,99,114,Flame Wheel,Extremespeed,Leer,Roar
#060,Poliwag,50,130,85,76,75,75,126,Hydro Pump,Body Slam,Hypnosis,Rain Dance
#061,Poliwhirl,50,152,98,97,82,82,122,Surf,Snore,Belly Drum,Rest
#062,Poliwrath,50,168,108,118,93,113,92,Dynamicpunch,Hydro Pump,Doubleslap,Mind Reader
#063,Abra,50,115,55,51,140,90,126,Psychic,Ice Punch,Swagger,Attract
#064,Kadabra,50,125,66,60,150,100,136,Psychic,Thunderpunch,Reflect,Kinesis
#065,Alakazam,50,136,77,72,161,111,146,Psybeam,Future Sight,Thief,Kinesis
#066,Machop,50,160,115,86,70,70,71,Cross Chop,Seismic Toss,Earthquake,Double Team
#067,Machoke,50,165,131,100,80,90,76,Vital Throw,Strength,Dig,Foresight
#068,Machamp,50,170,155,105,90,110,79,Submission,Scary Face,Thunderpunch,Fire Punch
#069,Bellsprout,50,140,110,71,105,65,76,Giga Drain,Sludge Bomb,Toxic,Growth
#070,Weepinbell,50,152,123,82,117,77,87,Razor Leaf,Sludge Bomb,Stun Spore,Growth
#071,Victreebel,50,161,132,92,126,86,96,Solarbeam,Acid,Sleep Powder,Growth
#072,Tentacool,50,130,75,71,85,135,106,Surf,Sludge Bomb,Blizzard,Screech
#073,Tentacruel,50,158,93,88,103,143,122,Bubblebeam,Sludge Bomb,Wrap,Barrier
#074,Geodude,50,130,115,136,65,65,56,Earthquake,Rollout,Exploison,Defense Curl
#075,Graveler,50,142,128,147,77,77,67,Earthquake,Rollout,Selfdestruct,Sandstorm
#076,Golem,50,161,137,157,81,91,71,Magnitude,Rock Throw,Rock Smash,Harden
#077,Ponyta,50,135,116,85,95,95,121,Fire Blast,Headbutt,Iron Tail,Sunny Day
#078,Rapidash,50,144,125,95,104,104,129,Fire Spin,Stomp,Attract,Toxic
#079,Slowpoke,50,180,100,101,75,75,51,Surf,Psychic,Earthquake,Amnesia
#080,Slowbro,50,178,104,138,128,108,59,Surf,Confusion,Disable,Growl
#081,Magnemite,50,115,70,106,130,90,81,Thunder,Frustration,Supersonic,Thunder Wave
#082,Magneton,50,131,87,122,146,96,96,Thunder,Swift,Flash,Thunder Wave
#083,Farfetch'd,50,139,98,87,90,94,92,Slash,Fly,Steel Wing,Swords Dance
#084,Doduo,50,125,120,81,70,70,111,Drill Peck,Tri Attack,Steel Wing,Double Team
#085,Dodrio,50,141,137,97,86,86,126,Fly,Tri Attack,Pursuit,Growl
#086,Seel,50,155,80,91,80,105,81,Surf,Ice Beam,Headbutt,Safeguard
#087,Dewgong,50,171,97,107,96,121,96,Waterfall,Aurora Beam,Sleep Talk,Rest
#088,Grimer,50,170,115,86,75,85,61,Sludge Bomb,Frustration,Toxic,Screech
#089,Muk,50,184,130,100,89,124,74,Sludge,Dynamicpunch,Disable,Acid Armor
#090,Shellder,50,120,100,136,80,60,76,Surf,Ice Beam,Swift,Supersonic
#091,Cloyster,50,128,118,203,108,68,92,Clamp,Aurora Beam,Spike Cannon,Withdraw
#092,Gastly,50,120,70,66,135,70,116,Shadow Ball,Psychic,Curse,Confuse Ray
#093,Haunter,50,130,81,75,145,85,126,Shadow Ball,Giga Drain,Spite,Destiny Bond
#094,Gengar,50,139,90,85,154,99,134,Night Shade,Thief,Nightmare,Hypnosis
#095,Onix,50,122,78,192,62,77,102,Earthquake,Rock Throw,Strength,Sandstorm
#096,Drowzee,50,150,83,81,78,125,78,Psychic,Headbutt,Dream Eater,Hypnosis
#097,Hypno,50,166,100,97,99,141,93,Confusion,Dream Eater,Psych Up,Hypnosis
#098,Krabby,50,120,140,126,60,60,86,Crabhammer,Strength,Blizzard,Guillotine
#099,Kingler,50,136,157,142,76,76,101,Crabhammer,Vicegrip,Guillotine,Leer
#100,Voltorb,50,130,65,86,90,90,136,Thunder,Selfdestruct,Mirror Coat,Rain Dance
#101,Electrode,50,141,77,97,106,106,166,Thunder,Swift,Sonicboom,Flash
#102,Exeggcute,50,150,75,116,95,80,76,Psychic,Giga Drain,Stun Spore,Leech Seed
#103,Exeggutor,50,173,118,108,148,88,77,Egg Bomb,Confusion,Nightmare,Sleep Powder
#104,Cubone,50,140,85,131,75,85,71,Bonemerang,Headbutt,Icy Wind,Focus Energy
#105,Marowak,50,145,111,140,80,110,76,Bone Rush,Thrash,Thunderpunch,Focus Energy
#106,Hitmonlee,50,133,149,81,63,138,116,Hi Jump Kick,Mega Kick,Reversal,Meditate
#107,Hitmonchan,50,133,134,107,63,138,105,Mach Punch,Strength,Ice Punch,Counter
#108,Lickitung,50,177,88,107,92,107,62,Hyper Beam,Shadow Ball,Surf,Supersonic
#109,Koffing,50,130,100,131,95,80,71,Sludge Bomb,Fire Blast,Exploison,Toxic
#110,Weezing,50,146,117,147,111,96,86,Sludge,Zap Cannon,Selfdestruct,Haze
#111,Rhyhorn,50,170,120,131,65,65,61,Earthquake,Rollout,Iron Tail,Scary Face
#112,Rhydon,50,186,157,147,71,71,66,Dig,Stomp,Zap Cannon,Scary Face
#113,Chansey,50,331,32,32,61,131,76,Egg Bomb,Blizzard,Dream Eater,Sing
#114,Tangela,50,150,86,145,130,70,91,Giga Drain,Thief,Sleep Powder,Growth
#115,Kangaskhan,50,186,122,107,66,106,116,Dizzy Punch,Bite,Surf,Leer
#116,Horsea,50,122,77,108,107,62,97,Hydro Pump,Blizzard,Rain Dance,Smokescreen
#117,Seadra,50,140,96,125,125,75,116,Surf,Dragonbreath,Swift,Smokescreen
#118,Goldeen,50,135,102,96,70,85,99,Surf,Horn Attack,Horn Drill,Supersonic
#119,Seaking,50,163,121,93,93,108,97,Waterfall,Flail,Horn Drill,Supersonic
#120,Staryu,50,120,80,91,105,90,121,Psychic,Hydro Pump,Thunder,Recover
#121,Starmie,50,138,98,108,123,108,137,Waterfall,Zap Cannon,Rapid Spin,Harden
#122,Mr. Mime,50,121,72,92,126,146,116,Psybeam,Barrier,Baton Pass,Substitute
#123,Scyther,50,149,135,105,79,104,129,Wing Attack,Pursuit,Swift,Focus Energy
#124,Jynx,50,146,77,62,141,121,121,Ice Punch,Confusion,Lick,Mean Look
#125,Electabuzz,50,146,110,84,121,111,131,Thunderpunch,Swift,Light Screen,Leer
#126,Magmar,50,146,122,84,126,111,119,Fire Punch,Smog,Smokescreen,Confuse Ray
#127,Pinsir,50,144,150,125,79,94,109,Fury Cutter,Vicegrip,Submission,Focus Energy
#128,Tauros,50,156,127,122,66,96,136,Take Down,Pursuit,Rock Smash,Scary Face
#129,Magikarp,50,114,49,94,56,61,120,Tackle,Flail,Splash,
#130,Gyarados,50,173,148,102,83,123,103,Waterfall,Dragon Rage,Twister,Leer
#131,Lapras,50,208,108,103,108,118,82,Whirlpool,Icy Wind,Perish Song,Mist
#132,Ditto,50,138,83,84,83,83,84,Transform,,,
#133,Eevee,50,145,90,86,80,100,91,Take Down,Iron Tail,Shadow Ball,Sand-attack
#134,Vaporeon,50,208,88,83,133,118,87,Waterfall,Quick Attack,Acid Armor,Sand-attack
#135,Jolteon,50,143,88,83,133,118,152,Zap Cannon,Pin Missile,Double Kick,Sand-attack
#136,Flareon,50,143,153,83,118,133,87,Fire Blast,Smog,Quick Attack,Tail Whip
#137,Porygon,50,152,93,102,117,107,72,Tri Attack,Blizzard,Sharpen,Conversion 2
#138,Omanyte,50,122,73,132,122,87,67,Surf,Ancientpower,Blizzard,Protect
#139,Omastar,50,151,87,152,141,96,81,Water Gun,Ancientpower,Spike Cannon,Bite
#140,Kabuto,50,117,113,122,87,77,87,Rollout,Giga Drain,Blizzard,Attract
#141,Kabutops,50,141,142,132,91,96,106,Ancientpower,Surf,Leer,Endure
#142,Aerodactyl,50,158,128,88,83,98,152,Ancientpower,Bite,Curse,Supersonic
#143,Snorlax,50,238,133,88,88,133,52,Headbutt,Fire Punch,Defense Curl,Curse
#144,Articuno,50,155,94,110,105,135,94,Blizzard,Peck,Agility,Mist
#145,Zapdos,50,155,99,95,135,100,109,Thunder,Rock Smash,Flash,Detect
#146,Moltres,50,155,109,100,135,95,99,Fire Blast,Sky Attack,Roar,Endure
#147,Dratini,50,131,99,81,85,85,86,Outrage,Headbutt,Safeguard,Thunder Wave
#148,Dragonair,50,146,115,95,100,100,101,Dragonbreath,Headbutt,Fire Blast,Thunder Wave
#149,Dragonite,50,151,139,100,105,105,85,Twister,Wing Attack,Dragon Rage,Leer
#152,Chikorita,50,135,84,101,84,100,81,Giga Drain,Body Slam,Light Screen,Toxic
#153,Bayleef,50,145,93,110,93,110,91,Razor Leaf,Body Slam,Safeguard,Synthesis
#154,Meganium,50,158,105,123,106,123,102,Solarbeam,Strength,Poisonpowder,Reflect
#155,Cyndaquil,50,129,87,79,95,85,101,Flamethrower,Headbutt,Dig,Sunny Day
#156,Quilava,50,143,95,88,110,95,111,Fire Blast,Rollout,Strength,Smokescreen
#157,Typhloison,50,156,107,101,132,108,122,Flame Wheel,Swift,Rock Smash,Smokescreen
#158,Totodile,50,140,100,100,79,83,79,Surf,Blizzard,Slash,Screech
#159,Croconaw,50,150,111,110,89,93,89,Hydro Pump,Ice Punch,Slash,Scary Face
#160,Feraligatr,50,159,123,119,98,102,97,Water Gun,Dig,Dynamicpunch,Leer
#161,Sentret,50,129,85,73,76,86,60,Headbutt,Shadow Ball,Rollout,Defense Curl
#162,Furret,50,170,107,94,75,85,121,Strength,Ice Punch,Thunderpunch,Amnesia
#163,Hoothoot,50,152,67,68,73,93,87,Fly,Swift,Dream Eater,Hypnosis
#164,Noctowl,50,185,81,80,106,126,101,Fly,Take Down,Confusion,Foresight
#165,Ledyba,50,132,57,68,77,117,92,Double-edge,Ice Punch,Reflect,Safeguard
#166,Ledian,50,142,68,82,87,142,117,Giga Drain,Dig,Hyper Beam,Supersonic
#167,Spinarak,50,134,99,79,81,81,70,Sludge Bomb,Leech Life,Dig,Night Shade
#168,Ariados,50,157,123,102,92,92,72,Sludge Bomb,Protect,Toxic,Spider Web
#169,Crobat,50,163,13,103,93,103,152,Fly,Bite,Leech Life,Supersonic
#170,Chinchou,50,165,73,74,91,91,103,Surf,Thunder,Rain Dance,Confuse Ray
#171,Lanturn,50,206,85,85,102,102,93,Hydro Pump,Spark,Flail,Supersonic
#172,Pichu,50,114,79,54,76,76,100,Thunder,Headbutt,Attract,Sweet Kiss
#173,Cleffa,50,144,64,67,86,96,55,Headbutt,Psychic,Encore,Sweet Kiss
#174,Igglybuff,50,184,69,54,81,61,55,Headbutt,Dream Eater,Sing,Sweet Kiss
#175,Togepi,50,129,59,104,81,106,60,Headbutt,Metronome,Attract,Sweet Kiss
#176,Togetic,50,140,71,115,110,135,71,Fly,Double-edge,Metronome,Charm
#177,Natu,50,130,85,81,105,80,106,Psychic,Future Sight,Night Shade,Confuse Ray
#178,Xatu,50,146,102,97,121,96,121,Fly,Future Sight,Night Shade,Flash
#179,Mareep,50,147,77,78,102,82,72,Thunder,Headbutt,Light Screen,Thunder Wave
#180,Flaaffy,50,157,88,87,112,92,77,Thunderpunch,Fire Punch,Cotton Spore,Light Screen
#181,Ampharos,50,169,100,100,139,114,79,Zap Cannon,Dynamicpunch,Swift,Flash
#182,Bellossom,50,156,107,112,116,126,76,Petal Dance,Cut,Poisonpowder,Attract
#183,Marill,50,164,59,89,61,91,80,Surf,Rollout,Defense Curl,Swagger
#184,Azumarill,50,185,81,110,80,110,81,Waterfall,Icy Wind,Defense Curl,Rain Dance
#185,Sudowoodo,50,155,131,145,60,95,61,Rock Slide,Dig,Strength,Mimic
#186,Politoed,50,169,100,100,114,124,94,Whirlpool,Icy Wind,Perish Song,Swagger
#187,Hoppip,50,129,74,79,76,96,90,Giga Drain,Headbutt,Leech Seed,Sleep Powder
#188,Skiploom,50,145,80,86,80,100,116,Solarbeam,Headbutt,Synthesis,Sunny Day
#189,Jumpluff,50,158,84,98,83,113,139,Mega Drain,Headbutt,Stun Spore,Leech Seed
#190,Aipom,50,142,103,87,72,87,117,Strength,Double Team,Baton Pass,Agility
#191,Sunkern,50,124,69,69,71,71,70,Giga Drain,Sludge Bomb,Attract,Growth
#192,Sunflora,50,160,106,85,135,115,61,Razor Leaf,Hyper Beam,Toxic,Growth
#193,Yanma,50,152,98,77,107,77,127,Giga Drain,Headbutt,Swagger,Double Team
#194,Wooper,50,149,84,84,66,66,55,Surf,Earthquake,Ice Punch,Amnesia
#195,Quagsire,50,180,116,115,95,95,66,Surf,Dig,Slam,Haze 
#196,Espeon,50,143,88,83,153,118,132,Psybeam,Swift,Tail Whip,Psych Up
#197,Umbreon,50,173,88,133,83,153,87,Faint Attack,Quick Attack,Sand-attack,Mean Look
#198,Murkrow,50,145,116,72,115,72,122,Faint Attack,Fly,Night Shade,Haze
#199,Slowking,50,176,102,107,126,136,56,Psychic,Water Gun,Disable,Growl
#200,Misdreavus,50,145,91,90,115,115,116,Shadow Ball,Thunder,Psywave,Pain Split
#201,Unown,50,132,107,82,107,83,82,Hidden Power,,,
#202,Wobbuffet,50,275,64,88,63,88,64,Counter,Mirror Coat,Safeguard,Destiny Bond
#203,Girafarig,50,151,107,92,116,91,111,Psybeam,Stomp,Crunch,Agility
#204,Pineco,50,142,102,128,72,72,52,Double-edge,Giga Drain,Exploison,Spikes
#205,Forretress,50,156,117,167,86,86,66,Strength,Rollout,Sandstorm,Spikes
#206,Dunsparce,50,185,101,100,95,95,76,Strength,Dig,Attract,Glare
#207,Gligar,50,150,106,135,65,95,116,Slash,Faint Attack,Guillotine,Sand-attack
#208,Steelix,50,153,108,223,78,88,52,Iron Tail,Mud-slap,Rock Throw,Sandstorm
#209,Snubbull,50,152,117,88,77,77,67,Strength,Shadow Ball,Charm,Swagger
#210,Granbull,50,173,149,103,88,88,74,Headbutt,Dynamicpunch,Bite,Scary Face
#211,Qwilfish,50,150,126,105,85,85,116,Sludge Bomb,Hydro Pump,Pin Missile,Minimize
#212,Scizor,50,149,155,125,79,104,89,Metal Claw,Cut,Agility,Leer
#213,Shuckle,50,105,41,260,40,260,36,Sludge Bomb,Rollout,Bide,Sandstorm
#214,Heracross,50,158,148,98,63,118,107,Reversal,Cut,Counter,Endure
#215,Sneasel,50,140,126,85,65,105,146,Ice Punch,Beat Up,Slash,Screech
#216,Teddiursa,50,150,115,86,85,85,76,Slash,Faint Attack,Earthquake,Attract
#217,Ursaring,50,169,155,100,99,99,79,Dig,Fire Punch,Snore,Rest
#218,Slugma,50,134,79,79,111,81,60,Flamethrower,Rock Slide,Body Slam,Amnesia
#219,Magcargo,50,135,81,150,110,110,61,Fire Blast,Rock Slide,Smog,Amnesia
#220,Swinub,50,144,89,79,71,71,90,Blizzard,Earthquake,Strength,Mist
#221,Piloswine,50,183,129,108,88,88,79,Icy Wind,Earthquake,Fury Attack,Mist
#222,Corsola,50,142,88,117,97,117,67,Surf,Ancientpower,Mirror Coat,Attract
#223,Remoraid,50,127,102,73,102,72,102,Surf,Ice Beam,Hyper Beam,Lock-on
#224,Octillery,50,156,132,102,131,101,71,Octazooka,Hyper Beam,Focus Energy,Lock-on
#225,Delibird,50,135,90,81,100,80,111,Present,Blizzard,Fly,Double Team
#226,Mantine,50,146,67,97,106,166,96,Wing Attack,Waterfall,Take Down,Supersonic
#227,Skarmory,50,146,107,167,66,96,96,Steel Wing,Fly,Fury Attack,Agility
#228,Houndour,50,135,95,66,115,85,101,Flamethrower,Crunch,Sludge Bomb,Sunny Day
#229,Houndoom,50,154,115,75,134,104,119,Ember,Bite,Swift,Roar
#230,Kingdra,50,153,118,118,118,118,107,Waterfall,Twister,Frustration,Leer
#231,Phanpy,50,180,95,96,75,75,76,Earthquake,Double-edge,Double Team,Swagger
#232,Donphan,50,169,145,145,84,84,74,Earthquake,Rapid Spin,Sandstorm,Growl
#233,Porygon2,50,163,103,113,1278,118,82,Swift,Zap Cannon,Thief,Conversion
#234,Stantler,50,154,122,89,111,91,111,Stomp,Dream Eater,Mud-slap,Hypnosis
#235,Smeargle,50,149,59,74,61,86,115,Body Slam,Mach Punch,Flamethrower,Confuse Ray
#236,Tyrogue,50,129,74,74,76,76,75,Rock Smash,Strength,Double Team,Attract
#237,Hitmontop,50,136,127,126,66,141,102,Triple Kick,Strength,Focus Energy,Counter
#238,Smoochum,50,135,65,51,120,100,101,Psychic,Blizzard,Sing,Sweet Kiss
#239,Elekid,50,132,96,69,97,87,127,Thunderbolt,Headbutt,Screech,Light Screen
#240,Magby,50,132,108,69,102,87,115,Flamethrower,Iron Tail,Confuse Ray,Sunny Day
#241,Miltank,50,176,107,132,66,96,126,Stomp,Ice Punch,Attract,Bide
#242,Blissey,50,333,33,33,98,158,77,Egg Bomb,Thunder,Defense Curl,Flash
#243,Raikou,50,160,100,90,130,115,130,Spark,Quick Attack,Flash,Roar
#244,Entei,50,182,127,97,102,87,112,Fire Blast,Rock Smash,Leer,Roar
#245,Suicune,50,170,90,130,105,130,100,Bubblebeam,Gust,Curse,Roar
#246,Larvitar,50,142,101,88,82,87,78,Rock Slide,Earthquake,Hyper Beam,Swagger
#247,Pupitar,50,155,115,100,95,100,82,Rock Slide,Dig,Hyper Beam,Screech
#248,Tyranitar,50,160,139,115,100,105,66,Bite,Mud-slap,Leer,Sandstorm
