,bulbasaur,ivysaur,venusaur,charmander,charmeleon,charizard,squirtle,wartortle,blastoise,caterpie,metapod,butterfree,weedle,kakuna,beedrill,pidgey,pidgeotto,pidgeot,rattata,raticate,spearow,fearow,ekans,arbok,pikachu,raichu,sandshrew,sandslash,nidoran_f,nidorina,nidoqueen,nidoran_m,nidorino,nidoking,clefairy,clefable,vulpix,ninetales,jigglypuff,wigglytuff,zubat,golbat,oddish,gloom,vileplume,paras,parasect,venonat,venomoth,diglett,dugtrio,meowth,persian,psyduck,golduck,mankey,primeape,growlithe,arcanine,poliwag,poliwhirl,poliwrath,abra,kadabra,alakazam,machop,machoke,machamp,bellsprout,weepinbell,victreebel,tentacool,tentacruel,geodude,graveler,golem,ponyta,rapidash,slowpoke,slowbro,magnemite,magneton,farfetchd,doduo,dodrio,seel,dewgong,grimer,muk,shellder,cloyster,gastly,haunter,gengar,onix,drowzee,hypno,krabby,kingler,voltorb,electrode,exeggcute,exeggcutor,cubone,marowak,hitmonlee,hitmonchan,lickitung,koffing,weezing,rhyhorn,rhydon,chansey,tangela,kangaskhan,horsea,seadra,goldeen,seaking,staryu,starmie,mr. mime,scyther,jynx,electabuzz,magmar,pinsir,tauros,magikarp,gyarados,lapras,ditto,eevee,vaporeon,jolteon,flareon,porygon,omanyte,omastar,kabuto,kabutops,aerodactyl,snorlax,articuno,zapdos,moltres,dratini,dragonair,dragonite,mewtwo,mew
caterpie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.37,0.0,0.36,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metapod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.34,0.0,0.86,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
butterfree,1.0,0.98,0.05,0.74,0.12,0.0,0.33,0.05,0.11,1.0,1.0,0.31,1.0,1.0,0.15,0.69,0.23,0.0,0.84,0.06,0.1,0.0,0.49,0.01,0.53,0.0,0.0,0.19,1.0,0.41,0.03,1.0,0.67,0.07,0.2,0.0,0.28,0.0,0.88,0.02,1.0,0.04,1.0,0.99,0.08,0.83,0.07,1.0,0.04,0.18,0.0,0.65,0.07,0.38,0.14,0.06,0.0,0.36,0.0,0.96,0.02,0.05,0.46,0.92,0.25,1.0,0.62,0.45,1.0,0.87,0.01,0.04,0.0,1.0,1.0,1.0,0.05,0.0,0.99,0.17,0.14,0.0,0.15,0.03,0.0,0.34,0.0,1.0,0.36,0.47,0.0,0.0,0.0,0.0,0.07,0.99,0.0,0.65,0.0,0.0,0.0,0.93,0.01,0.34,0.03,1.0,1.0,0.03,0.96,0.31,1.0,1.0,0.15,0.04,0.01,0.36,0.0,0.44,0.28,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.95,0.39,0.01,0.0,0.02,0.12,1.0,0.97,1.0,0.87,0.01,0.0,0.0,0.0,0.0,0.63,0.07,0.0,0.0,0.01
weedle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.19,0.0,0.35,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kakuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.82,0.0,0.91,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beedrill,1.0,1.0,0.07,0.18,0.01,0.0,0.94,0.73,0.02,1.0,1.0,0.8,1.0,1.0,0.27,0.75,0.32,0.0,0.99,0.08,0.73,0.0,0.83,0.06,0.93,0.54,0.63,0.0,0.99,0.71,0.03,0.98,0.99,0.04,0.33,0.02,0.27,0.0,0.93,0.11,1.0,0.02,1.0,1.0,0.32,0.98,0.39,0.94,0.0,0.98,0.13,0.18,0.02,0.99,0.01,0.97,0.1,0.19,0.0,0.89,0.39,0.05,0.8,0.0,0.0,0.46,0.23,0.11,1.0,1.0,0.55,0.78,0.04,0.99,0.86,0.41,0.01,0.0,0.34,0.06,1.0,0.25,0.8,0.0,0.0,0.95,0.09,0.45,0.07,0.9,0.0,0.62,0.0,0.0,0.9,0.13,0.0,0.8,0.09,0.98,0.22,1.0,0.39,0.42,0.29,0.91,0.2,0.1,0.35,0.04,1.0,0.34,0.03,0.21,0.0,0.99,0.07,0.97,0.24,0.67,0.04,0.73,0.03,0.7,0.59,0.02,0.0,0.0,1.0,0.0,0.01,1.0,0.79,0.03,0.33,0.13,0.26,0.38,0.04,1.0,0.0,0.0,0.05,0.0,0.0,0.0,0.83,0.53,0.0,0.0,0.0
pidgey,0.95,0.79,0.02,0.1,0.0,0.0,0.04,0.0,0.0,1.0,1.0,0.31,1.0,1.0,0.2,0.22,0.0,0.0,0.47,0.0,0.06,0.0,0.39,0.04,0.0,0.0,0.03,0.0,0.08,0.0,0.0,0.36,0.01,0.0,0.0,0.0,0.1,0.0,0.3,0.01,1.0,0.0,0.92,0.77,0.11,1.0,0.6,0.99,0.19,1.0,0.08,0.11,0.0,0.15,0.0,0.77,0.08,0.22,0.0,0.95,0.03,0.0,0.07,1.0,0.08,0.99,0.37,0.24,0.91,0.92,0.08,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.01,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.79,0.02,0.03,0.0,0.0,0.0,0.91,0.14,0.01,0.0,0.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.89,0.14,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0
pidgeotto,1.0,0.99,0.22,1.0,0.52,0.01,0.23,0.08,0.0,1.0,1.0,0.82,1.0,1.0,0.51,1.0,0.23,0.0,0.51,0.11,0.88,0.07,0.96,0.04,0.55,0.0,0.28,0.0,0.28,0.11,0.01,0.89,0.19,0.02,0.28,0.01,0.68,0.05,0.98,0.07,1.0,0.02,1.0,1.0,0.26,1.0,0.98,1.0,0.6,1.0,0.73,0.76,0.04,0.32,0.04,0.99,0.11,0.46,0.02,1.0,0.1,0.2,0.1,1.0,0.74,0.99,0.91,0.26,1.0,0.98,0.86,0.12,0.01,0.07,0.0,0.0,0.25,0.08,0.1,0.0,0.0,0.0,0.24,0.46,0.01,0.24,0.0,0.32,0.0,0.08,0.0,0.06,0.0,0.0,0.0,1.0,0.08,0.42,0.0,0.11,0.0,1.0,0.14,0.05,0.01,0.99,0.75,0.06,0.0,0.0,0.0,0.0,0.03,0.26,0.02,0.26,0.0,0.34,0.05,0.32,0.0,0.03,0.19,0.0,0.0,0.11,0.0,0.01,1.0,0.0,0.0,1.0,0.94,0.0,0.0,0.03,0.06,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.01,0.92,0.16,0.0,0.0,0.0
pidgeot,1.0,0.99,0.98,1.0,1.0,0.94,0.95,0.34,0.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28,1.0,0.76,1.0,0.52,1.0,0.77,0.98,0.3,0.97,0.35,0.96,0.89,0.4,1.0,0.89,0.41,0.91,0.39,1.0,0.26,1.0,0.82,1.0,0.94,1.0,1.0,0.97,1.0,1.0,1.0,0.98,1.0,0.99,1.0,0.76,1.0,0.39,1.0,0.79,0.97,0.4,1.0,0.67,0.38,0.96,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.96,0.98,0.21,1.0,0.92,0.24,0.98,0.67,0.91,0.23,0.85,0.22,1.0,1.0,0.32,0.83,0.04,0.99,0.47,0.91,0.03,0.81,0.01,0.0,0.07,1.0,0.95,0.96,0.8,0.77,0.22,1.0,0.91,0.65,0.86,0.99,0.99,0.39,0.73,0.18,0.17,0.0,0.79,0.96,0.52,0.93,0.57,0.98,0.71,0.99,0.21,0.72,0.91,0.15,0.51,0.7,0.88,0.11,1.0,0.29,0.0,1.0,1.0,0.52,0.05,0.54,0.39,0.14,0.0,0.51,0.08,0.42,0.08,0.01,0.0,0.2,1.0,0.42,0.16,0.0,0.04
rattata,0.15,0.01,0.0,0.98,0.16,0.0,0.35,0.09,0.0,1.0,1.0,0.12,1.0,1.0,0.02,0.53,0.58,0.01,0.34,0.0,0.75,0.0,1.0,0.15,0.8,0.1,0.33,0.07,1.0,0.98,0.04,1.0,1.0,0.06,0.01,0.0,0.28,0.04,0.17,0.0,0.79,0.05,0.63,0.2,0.04,0.7,0.03,0.14,0.0,0.85,0.15,0.0,0.0,0.32,0.0,0.07,0.0,0.37,0.0,0.65,0.07,0.01,0.0,0.0,0.0,0.14,0.0,0.0,0.15,0.0,0.0,0.02,0.0,0.7,0.95,0.28,0.03,0.03,0.25,0.05,1.0,0.17,0.01,0.4,0.01,0.09,0.02,0.93,0.26,0.62,0.01,1.0,0.71,0.23,0.4,0.0,0.0,0.4,0.03,0.99,0.24,0.66,0.0,0.65,0.49,0.08,0.01,0.0,0.5,0.07,1.0,0.36,0.0,0.01,0.01,0.23,0.01,0.32,0.02,0.18,0.0,0.01,0.0,0.24,0.07,0.05,0.0,0.01,1.0,0.04,0.0,0.25,0.0,0.0,0.23,0.22,0.0,0.02,0.0,0.92,0.0,0.08,0.0,0.0,0.0,0.0,0.72,0.16,0.05,0.0,0.0
