,bulbasaur,ivysaur,venusaur,charmander,charmeleon,charizard,squirtle,wartortle,blastoise,caterpie,metapod,butterfree,weedle,kakuna,beedrill,pidgey,pidgeotto,pidgeot,rattata,raticate,spearow,fearow,ekans,arbok,pikachu,raichu,sandshrew,sandslash,nidoran_f,nidorina,nidoqueen,nidoran_m,nidorino,nidoking,clefairy,clefable,vulpix,ninetales,jigglypuff,wigglytuff,zubat,golbat,oddish,gloom,vileplume,paras,parasect,venonat,venomoth,diglett,dugtrio,meowth,persian,psyduck,golduck,mankey,primeape,growlithe,arcanine,poliwag,poliwhirl,poliwrath,abra,kadabra,alakazam,machop,machoke,machamp,bellsprout,weepinbell,victreebel,tentacool,tentacruel,geodude,graveler,golem,ponyta,rapidash,slowpoke,slowbro,magnemite,magneton,farfetchd,doduo,dodrio,seel,dewgong,grimer,muk,shellder,cloyster,gastly,haunter,gengar,onix,drowzee,hypno,krabby,kingler,voltorb,electrode,exeggcute,exeggcutor,cubone,marowak,hitmonlee,hitmonchan,lickitung,koffing,weezing,rhyhorn,rhydon,chansey,tangela,kangaskhan,horsea,seadra,goldeen,seaking,staryu,starmie,mr. mime,scyther,jynx,electabuzz,magmar,pinsir,tauros,magikarp,gyarados,lapras,ditto,eevee,vaporeon,jolteon,flareon,porygon,omanyte,omastar,kabuto,kabutops,aerodactyl,snorlax,articuno,zapdos,moltres,dratini,dragonair,dragonite,mewtwo,mew
metapod,-5,-3,-3,-1,-1,-1,-3,-3,-1,11,-,-5,-9,-11,-3,-3,-3,-2,-3,-3,-3,-1,-3,-3,-3,-1,-3,-3,-3,-3,-1,-3,-3,-1,-1,-1,-1,-1,-4,-1,-5,-3,-5,-3,-3,-4,-3,-5,-3,-3,-3,-3,-3,-3,-1,-3,-3,-1,-1,-3,-3,-1,-1,-3,-3,-3,-1,-1,-3,-3,-3,-1,-1,-4,-1,-1,-1,-1,-4,-1,-1,-1,-3,-2,-1,-2,-1,-3,-1,-3,-1,-3,-1,-1,-3,-1,-1,-3,-3,-3,-1,-5,-3,-3,-1,-3,-3,-1,-1,-1,-2,-1,-1,-5,-1,-1,-1,-3,-1,-1,-1,-3,-3,-1,-1,-1,-3,-1,11,-1,-1,-7,-3,-1,-1,-1,-3,-1,-1,-3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
butterfree,3,4,-3,3,-2,-1,3,3,-3,3,5,-,3,3,-3,3,-3,-2,-3,-2,-3,-1,-2,-1,-3,-1,-2,-2,3,-4,-1,3,-4,-1,-4,-4,-2,-1,3,-3,3,-3,5,-4,-4,3,-4,3,-3,-1,-1,-3,-3,3,-3,-1,-1,-3,-1,3,-3,-3,-2,4,-3,-2,-2,-2,3,-4,-3,-2,-1,1,1,-2,-2,-1,3,-4,-2,-1,3,-2,-1,-4,-1,3,-2,3,-1,-3,-3,-1,-1,-4,-4,1,-3,-3,-1,5,-4,3,3,2,-3,-4,3,-2,1,-2,-2,-4,-1,3,-3,3,-4,-3,-3,-3,-3,-1,-1,-1,-3,-1,2,-2,-2,4,3,-2,-1,-2,-4,3,3,1,2,-1,-2,-1,-1,-1,3,-3,-2,-1,-1
weedle,-4,-3,-3,-1,-1,-1,-3,-1,-1,7,9,-3,-,9,-3,-2,-1,-1,-1,-1,-1,-1,-3,-1,-2,-1,-2,-1,-4,-3,-1,-3,-3,-1,-2,-1,-1,-1,-3,-2,-3,-3,-4,-4,-3,4,-4,-4,-1,-3,-1,-2,-1,-3,-1,-1,-1,-1,-1,-3,-2,-1,-1,-1,-1,-2,-2,-1,-4,-2,-1,-1,-1,-2,-2,-2,-1,-1,-2,-2,-2,-1,-1,-1,-1,-2,-1,-2,-1,-4,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-4,-1,-2,-2,-1,-1,-2,-2,-1,-2,-2,-1,-3,-1,-1,-1,-3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-6,-1,-1,-1,-1,-2,-2,-1,-3,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1
kakuna,-4,-3,-3,-1,-1,-1,-3,-2,-1,10,11,-3,9,-,-3,-3,-3,-1,-3,-1,-3,-1,-3,-3,-3,-1,-3,-3,-3,-3,-1,-3,-3,-1,-1,-1,-1,-1,-4,-1,-5,-3,-5,-3,-3,-4,-4,-3,-3,-3,-3,-3,-2,-3,-1,-3,-3,-1,-1,-3,-3,-1,-1,-1,-1,-3,-1,-1,-3,-3,-3,-1,-1,-2,-1,-1,-1,-1,-3,-2,-1,-1,-3,-1,-1,-1,-1,-2,-1,-3,-1,-1,-1,-1,-3,-1,-1,-3,-3,-3,-1,-5,-3,-2,-1,-3,-3,-2,-1,-1,-2,-1,-1,-3,-1,-1,-1,-3,-1,-1,-1,-1,-3,-1,-1,-1,-3,-1,10,-1,-1,-6,-3,-1,-1,-1,-3,-1,-1,-3,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1
beedrill,3,3,-3,-2,-1,-1,3,-4,-3,3,3,3,3,3,-,3,3,-1,2,-1,-2,-1,3,-3,-3,-3,-4,-2,3,3,-1,3,3,-1,3,-2,-2,-1,3,-2,3,-3,3,3,-4,3,3,3,-3,2,-2,2,-2,3,-3,3,-2,-2,-1,3,-3,-4,2,-1,-1,3,-3,-2,3,3,3,-2,-1,3,3,-2,-1,-1,-4,-2,3,-2,3,-1,-1,3,-2,3,-3,3,-4,-1,-1,-1,3,-2,-2,3,-2,-3,-3,4,-4,-4,-4,2,-3,-3,-4,-2,3,-2,-2,-4,-1,3,-3,3,3,-3,-2,-2,-3,-2,-3,-1,-2,-1,4,-1,-2,3,3,-2,-1,-2,3,-4,-4,3,-3,-1,-2,-1,-1,-1,3,-2,-1,-1,-1
pidgey,3,-3,-3,-3,-2,-1,-2,-1,-1,3,3,-3,2,3,-3,-,-2,-1,2,-1,2,-1,3,-2,-1,-1,-3,-1,-2,-1,-1,-2,-1,-1,-2,-1,-2,-1,-2,-2,3,-3,3,3,-4,1,2,3,-3,2,-2,-2,-1,-2,-1,-3,-1,-3,-1,-3,-1,-1,-1,-2,-2,3,-2,-2,3,3,-3,-1,-1,-2,-2,-2,-2,-1,-2,-2,-2,-1,-1,-1,-1,-2,-1,3,-2,-2,-1,-1,-1,-1,-3,-2,-1,-2,-1,-1,-1,3,-4,-2,-2,-1,-3,-2,-2,-1,-2,-2,-2,-3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,3,-2,-1,-1,-1,-2,-2,-2,-2,-1,-1,-2,-1,-1,-1,-2,-1,-1,-1,-1
pidgeotto,3,3,-3,3,-3,-3,3,-2,-1,1,3,3,1,3,3,2,-,-3,2,-2,1,-2,3,-3,-1,-1,3,-4,3,3,-1,3,3,-1,3,-2,3,-2,3,-3,1,-3,3,3,3,1,1,3,4,2,-3,2,-2,3,-1,1,-3,3,-3,-3,-3,-4,-1,2,-3,3,3,-4,1,3,3,1,-1,-4,-2,-2,-3,-3,3,-2,-2,-2,3,2,-1,-2,-2,3,-3,3,-2,-1,-1,-1,-4,3,-2,3,-3,-1,-1,3,4,3,-4,2,-3,-3,3,-2,-3,-2,-2,4,-2,-2,-1,3,-2,-2,-1,-1,-3,-1,-1,-3,-3,-1,3,-1,-2,3,3,-2,-1,-2,-2,-2,-2,-4,-2,-3,-2,-1,-1,-1,3,-2,-1,-1,-1
pidgeot,1,3,3,1,3,-3,3,3,3,1,2,2,1,1,1,1,3,-,1,2,1,-3,1,3,1,-1,3,-4,3,3,3,1,3,3,3,3,1,-3,1,3,1,3,1,3,3,1,1,2,3,2,2,1,-3,1,3,1,-3,1,-3,1,3,3,1,2,2,3,3,3,1,2,3,1,-1,-4,-4,-4,3,-3,3,-4,-2,-2,2,1,-3,3,-2,3,3,3,-2,3,-3,-1,-4,3,-4,3,3,2,-1,3,3,3,3,1,3,3,3,-4,-4,-3,-2,3,3,3,3,3,3,1,-2,3,-3,-1,-1,-3,3,-3,1,-2,-2,1,2,-2,-1,3,3,-4,-3,-4,-4,-3,3,-2,-1,3,1,3,-2,-1,-2
rattata,-2,-2,-1,-2,-1,-1,-2,-2,-1,2,3,3,1,3,-2,2,-2,-1,-,-1,1,-1,2,-2,2,-1,-2,-2,3,3,-1,2,-2,-1,-2,-2,-2,-1,-2,-2,1,-2,-2,-2,-2,3,-2,3,-2,2,-1,2,-1,-2,-1,1,-1,-2,-1,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,1,-1,1,-2,-2,-1,-1,-3,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,3,-2,-1,-1,-1,1,-2,-2,2,-1,-1,-1,3,-2,3,-2,-1,-1,-2,3,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-2,3,-2,-2,-1,-2,-2,-2,-2,3,-1,-1,-2,-1,-1,-1,2,-2,-1,-1,-1
raticate,1,3,3,1,3,-2,3,3,3,1,3,2,1,1,1,1,2,-2,1,-,1,-2,1,3,1,-2,1,3,2,3,3,1,3,3,2,3,1,-2,1,3,1,3,3,3,3,1,3,2,3,1,2,1,-2,1,3,1,-2,1,3,1,3,-2,1,2,2,2,-2,-2,1,3,-2,1,-1,1,1,3,3,-2,3,-4,3,-2,2,1,-1,3,-2,3,3,3,3,3,-4,-3,1,-2,-2,1,3,2,-2,3,3,3,3,1,-2,3,3,3,1,3,-2,3,-2,3,-2,3,3,1,-2,3,-3,1,-2,-2,3,-1,1,3,-2,1,2,-2,-1,-2,3,3,-4,2,3,-3,-2,-2,-2,-2,1,3,3,-1,-2
spearow,2,3,-3,-2,-1,-1,-2,-2,-1,1,3,-3,1,3,2,2,-1,-1,-1,-1,-,-1,-2,-1,-1,-1,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-1,-2,-2,1,-2,3,3,3,1,1,3,-3,2,-1,2,-1,-2,-1,-1,-1,-2,-1,-3,-1,-1,-1,2,-2,3,-2,-2,1,3,-1,-1,-1,-2,-2,-2,-1,-1,-2,-2,-2,-1,-2,-1,-1,-2,-1,-2,-2,-2,-1,-1,-1,-1,-1,-2,-2,-2,-1,-1,-1,3,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,4,-1,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-2,3,-2,-2,-1,-2,-2,-2,-2,-2,-1,-1,-2,-1,-1,-1,-2,-1,-1,-1,-1
fearow,1,2,3,1,3,-3,3,3,-2,1,1,1,1,1,1,1,2,3,1,2,1,-,1,3,1,-1,3,3,1,3,-2,1,3,-2,3,-2,1,-3,1,3,1,3,1,3,3,1,1,1,3,1,2,1,-3,1,-2,1,3,1,3,1,3,3,1,2,2,3,3,3,1,1,3,1,-1,-4,-3,-2,1,-3,3,-3,1,-2,1,1,2,-2,-2,3,3,3,-2,3,-2,-1,-4,1,-2,2,3,2,-1,3,3,3,3,1,2,3,3,3,-4,-2,1,3,-2,1,-2,1,-2,1,-1,-2,-3,1,-1,3,3,-2,1,-2,-2,1,1,-2,-1,-2,-2,-2,-2,-4,-4,-3,-2,-2,-2,-2,1,-2,-2,-1,-1
ekans,3,-3,-3,2,-3,-1,-4,-3,-1,3,3,2,3,3,-3,-3,-3,-1,-2,-1,2,-1,-,-1,2,-1,-2,-1,3,-3,-1,1,-3,-1,3,-1,2,-1,3,-2,3,-3,3,-4,-4,1,3,3,-3,-1,-1,-2,-1,-3,-1,-3,-2,-3,-1,-3,-1,-1,2,-1,-1,-2,-2,-1,3,-3,-2,-1,-1,-2,-2,-2,-3,-1,-2,-2,-2,-1,-3,-1,-1,-3,-1,3,3,-4,-1,-1,-1,-1,-1,-2,-1,3,-1,-3,-1,5,-3,-2,-2,-1,-2,-2,3,-3,-2,-2,-2,-3,-1,-2,-1,-3,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,3,-2,-1,-1,-1,-2,-2,-1,3,-1,-1,-2,-1,-1,-1,3,-3,-1,-1,-1
arbok,3,3,-3,1,-3,-3,3,-4,-3,2,3,1,1,3,3,2,3,-3,2,-3,1,-3,1,-,2,-3,3,-2,1,3,-2,1,2,-1,3,-4,1,-3,3,-4,1,4,3,3,-4,1,2,3,4,2,-1,2,-3,3,-3,2,-3,1,-3,4,-3,-3,2,-2,-1,3,-2,-2,3,3,3,1,-3,1,3,-2,2,-3,-4,-4,1,3,3,2,-3,3,-4,2,3,3,-4,-1,-1,-1,1,-2,-2,3,4,2,-3,3,-4,-4,-4,2,3,-4,3,3,3,-2,3,5,-2,3,-3,3,-4,-3,-3,-3,2,-3,-3,-3,-3,-1,4,-3,-4,3,3,-3,-3,3,3,3,3,2,-3,-3,-2,-3,-3,-3,3,3,-3,-1,-1
pikachu,3,-3,-2,3,3,-1,1,2,-2,2,3,3,2,3,3,1,1,-1,2,-1,1,-1,-2,-2,-,-1,-2,-2,3,3,-2,3,3,-2,-2,-2,3,-1,-2,-2,1,-3,3,-3,-2,3,-2,3,-3,-1,-1,-1,-1,1,-2,2,-1,3,-1,2,-1,-2,2,-3,-3,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-1,1,-2,3,-4,1,1,-1,3,-2,3,-2,1,2,-4,-3,-3,-2,-2,-2,1,1,-3,-3,-4,-2,-2,-2,1,-2,-2,3,-2,-2,-2,-2,-4,-1,1,-2,1,-2,1,-1,-3,-1,-1,-1,-1,-2,-1,1,1,-2,3,-2,-2,-2,-2,-2,3,-2,1,2,-1,-2,-2,-1,-1,3,-2,-2,-1,-1
raichu,3,3,4,2,3,-1,1,1,3,1,1,1,1,1,3,1,1,1,1,2,1,2,1,3,1,-,-2,-2,2,3,-2,1,3,-2,3,3,3,-3,3,3,1,1,3,3,4,3,3,2,3,1,-1,1,-3,1,1,1,3,3,3,1,1,1,1,2,-3,3,-2,-2,2,3,3,1,-3,-2,-2,-2,3,-3,1,3,3,3,1,1,-1,1,3,3,3,1,1,3,-6,-3,-2,3,-4,1,1,4,-3,3,-4,-2,-2,1,1,3,3,3,-2,-2,3,-4,-2,1,1,1,1,1,2,3,2,3,-3,3,3,-1,1,1,3,3,3,3,-3,3,3,1,3,1,1,2,-2,3,-4,3,3,3,3,-3,-1
sandshrew,-1,-1,-1,2,2,-1,-1,-1,-1,4,3,2,2,3,4,3,-3,-3,2,-1,2,-3,2,-3,2,2,-,-3,2,-1,-1,2,-1,-1,-2,-1,2,-1,3,-1,4,-3,-2,-1,-1,3,-2,-3,-3,2,-3,-3,-3,-1,-1,2,-3,2,-1,-1,-1,-1,-1,2,-3,3,-3,-3,-1,-1,-1,-1,-1,3,3,-3,2,-1,-2,-2,2,2,-3,2,-3,-1,-1,1,-3,-1,-1,2,2,-1,4,-1,-1,-3,-1,2,2,-2,-1,-4,-1,2,-3,-2,1,-3,3,-3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,2,-1,-3,-1,4,-1,-1,4,-3,-1,2,-1,-1,1,-1,-1,-1,-3,-2,-1,-3,-1,-1,-1,-1,-1,-1
sandslash,3,-2,-1,2,2,2,3,-2,-1,1,3,2,1,3,2,1,4,4,2,-3,2,-3,1,2,2,2,3,-,1,1,-3,1,2,2,3,3,2,2,1,3,1,-5,3,3,-2,3,3,3,-3,2,2,2,-3,3,-1,2,4,1,2,2,-3,-1,-1,2,-3,3,3,3,1,-2,-1,-1,-1,1,1,3,2,2,3,-2,1,2,3,2,-3,-2,-1,1,1,3,-1,2,2,2,4,3,-3,3,-3,2,2,3,-2,3,3,2,4,3,1,3,3,3,-2,-3,-3,-2,-1,3,-1,-1,-1,-3,2,-1,2,2,4,-3,2,-1,-2,2,2,-1,2,2,3,1,-2,1,-1,4,-4,-1,4,-3,1,-3,-1,-1,-1
nidoran_f,4,4,-3,-3,-3,-1,-3,-3,-1,4,3,-3,4,3,-3,2,-3,-3,-3,-2,2,-1,-3,-1,-3,-2,-2,-1,-,-3,-1,-3,-3,-1,-4,-3,-3,-1,3,-3,3,-3,3,3,-3,3,3,-3,-3,-1,-1,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-1,-3,-1,-1,-4,-1,-1,3,-3,-3,-2,-1,1,-2,-1,-3,-2,3,-4,-2,-1,-3,2,-1,-3,-1,-4,-3,3,-3,-1,-1,-1,-1,-1,-1,2,-3,-3,-2,3,-3,-2,-1,2,-3,-4,5,-3,-2,-2,-3,4,-1,-3,-3,-3,-3,-3,-1,-1,-3,-1,-2,-2,-3,-1,2,-1,-1,4,-3,-1,-1,-1,-4,-4,-1,3,-3,-3,-2,-1,-1,-1,3,-3,-3,-1,-1
nidorina,3,4,4,-3,-3,-3,3,-3,-3,3,3,4,3,3,-3,2,3,-3,3,-3,2,-3,3,-3,-3,-3,1,-1,3,-,-1,3,4,-1,3,-3,-3,-3,3,-4,1,4,3,3,3,2,3,3,-3,2,-1,-3,-3,3,-3,-3,-3,-3,-3,4,-3,-3,2,-2,-1,-4,-4,-2,3,3,-3,-3,-3,1,1,-2,-3,-3,3,-4,3,-3,3,2,-3,3,-3,4,-4,3,-3,-1,-1,-1,2,-2,-1,1,3,-3,-3,3,-4,3,-2,2,-3,-4,4,-5,1,-2,-3,4,-3,-3,-3,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,3,3,-3,-3,-3,-4,3,-4,2,-3,-3,-2,-1,-3,-3,2,4,3,-1,-1
nidoqueen,3,3,4,1,2,-3,1,3,-3,1,1,1,1,1,1,1,1,-3,1,3,1,2,1,2,2,2,1,3,1,1,-,1,1,-3,3,-4,1,2,3,3,1,4,3,3,3,1,1,1,4,2,-3,2,4,3,-3,1,4,1,4,2,-3,3,2,2,-3,3,3,-4,1,3,3,1,-1,1,1,1,2,2,3,3,1,1,2,1,2,3,-2,1,3,1,-2,2,2,-3,1,3,-2,1,3,2,2,3,5,1,1,2,4,-4,1,3,1,1,3,3,-3,3,-1,1,3,-3,-1,-3,2,-1,2,2,2,-3,2,-1,-2,3,3,-2,2,1,3,1,-2,1,-3,3,-4,-1,4,-3,1,3,2,-1,-1
