,bulbasaur,ivysaur,venusaur,charmander,charmeleon,charizard,squirtle,wartortle,blastoise,caterpie,metapod,butterfree,weedle,kakuna,beedrill,pidgey,pidgeotto,pidgeot,rattata,raticate,spearow,fearow,ekans,arbok,pikachu,raichu,sandshrew,sandslash,nidoran_f,nidorina,nidoqueen,nidoran_m,nidorino,nidoking,clefairy,clefable,vulpix,ninetales,jigglypuff,wigglytuff,zubat,golbat,oddish,gloom,vileplume,paras,parasect,venonat,venomoth,diglett,dugtrio,meowth,persian,psyduck,golduck,mankey,primeape,growlithe,arcanine,poliwag,poliwhirl,poliwrath,abra,kadabra,alakazam,machop,machoke,machamp,bellsprout,weepinbell,victreebel,tentacool,tentacruel,geodude,graveler,golem,ponyta,rapidash,slowpoke,slowbro,magnemite,magneton,farfetchd,doduo,dodrio,seel,dewgong,grimer,muk,shellder,cloyster,gastly,haunter,gengar,onix,drowzee,hypno,krabby,kingler,voltorb,electrode,exeggcute,exeggcutor,cubone,marowak,hitmonlee,hitmonchan,lickitung,koffing,weezing,rhyhorn,rhydon,chansey,tangela,kangaskhan,horsea,seadra,goldeen,seaking,staryu,starmie,mr. mime,scyther,jynx,electabuzz,magmar,pinsir,tauros,magikarp,gyarados,lapras,ditto,eevee,vaporeon,jolteon,flareon,porygon,omanyte,omastar,kabuto,kabutops,aerodactyl,snorlax,articuno,zapdos,moltres,dratini,dragonair,dragonite,mewtwo,mew
weedle,-6,-3,-3,-1,-1,-1,-3,-1,-1,7,9,-3,-,9,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-2,-1,-4,-1,-6,-3,-3,-4,-3,-3,-4,-3,-1,-1,-3,-2,-3,-3,-6,-4,-3,-4,-4,-4,-1,-3,-1,-3,-1,-3,-1,-3,-3,-1,-1,-3,-2,-1,-5,-1,-1,-4,-4,-2,-4,-3,-3,-1,-1,-2,-2,-2,-1,-1,-4,-2,-4,-3,-1,-2,-1,-2,-1,-4,-3,-4,-1,-1,-1,-1,-3,-2,-1,-3,-2,-5,-3,-6,-3,-4,-4,-3,-3,-4,-4,-3,-4,-4,-4,-5,-1,-1,-1,-3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-6,-3,-1,-1,-1,-4,-2,-1,-3,-1,-1,-2,-1,-1,-1,-3,-3,-1,-1,-1
kakuna,-6,-5,-5,-1,-1,-1,-3,-2,-1,10,11,-3,9,-,-5,-5,-3,-3,-3,-3,-3,-3,-5,-4,-3,-1,-3,-3,-7,-5,-3,-5,-5,-3,-3,-3,-1,-1,-4,-3,-5,-3,-6,-5,-5,-6,-4,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-1,-1,-3,-3,-1,6,-1,-1,-4,-3,-3,-5,-5,-3,-1,-1,-4,-3,-1,-3,-1,-4,-2,-3,-3,-3,-3,-3,-1,-1,-4,-3,-3,-1,-1,-1,-1,-5,-1,-1,-3,-3,-7,-5,-7,-5,-5,-4,-3,-3,-4,-5,-3,-6,-3,-5,-7,-3,-1,-1,-3,-1,-1,-1,-1,-3,-1,-1,-1,-3,-3,10,-1,-1,-6,-3,-1,-1,-1,-3,-1,-1,-3,-1,-3,-2,-1,-1,-1,-3,-3,-3,-1,-3
beedrill,4,5,-4,-2,-1,-1,-4,-4,-3,3,5,-4,3,5,-,3,-4,-3,3,-3,3,-3,3,-3,-3,-3,-4,-4,5,5,-3,3,5,-3,-4,-4,-2,-1,3,-3,3,-3,5,5,-5,3,-4,5,-3,-3,-3,-3,-3,-4,-3,3,-3,-2,-1,-3,-3,-4,3,-1,-1,-4,-4,-4,3,-4,-4,3,-1,-4,-4,-2,-3,-3,-4,-4,5,-5,-4,-3,-3,-4,-4,-4,-4,-4,-4,-1,-1,-1,-6,-3,-2,-4,-3,4,-5,6,-4,-6,-4,-3,-3,-4,-4,-4,-6,-4,-4,-6,-3,-4,-3,-4,-4,-3,-3,-2,-3,-2,-3,-1,-3,-3,4,-3,-4,4,4,-2,-3,-2,-4,-4,-4,-4,-3,-3,-2,-1,-2,-1,3,-4,-3,-1,-3
pidgey,5,-3,-3,-3,-3,-1,-4,-3,-1,3,5,-5,3,5,-3,-,-3,-3,-3,-3,-3,-3,3,-3,-1,-1,-4,-3,5,-4,-3,3,-3,-3,-4,-3,-2,-1,-3,-2,3,-3,5,5,-6,3,3,5,-5,-3,-3,-3,-1,-4,-1,-3,-3,-3,-1,-3,-3,-3,3,-3,-3,-4,-4,-4,3,-4,-3,-1,-1,-4,-4,-4,-3,-3,-4,-2,-2,-1,-2,-3,-1,-2,-1,-4,-4,-3,-1,-3,-3,-1,-5,-4,-3,-4,-3,4,-5,5,-4,-5,-4,2,-3,-4,-4,-3,-4,-4,-4,-5,-1,-2,-1,-3,-1,-2,-1,-3,-3,-1,-1,-1,-1,-2,4,-1,-1,4,-4,-1,-1,-1,-4,-2,-2,-4,-1,-3,-2,-1,-1,-3,-4,-3,-3,-2,-3
pidgeotto,3,5,-5,3,-3,-3,-4,-4,-3,3,4,5,3,3,4,3,-,-3,3,-3,3,-3,3,-5,-1,-1,-4,-4,3,5,-4,3,4,-3,-4,-4,3,-3,3,-4,3,-5,3,5,5,1,3,3,-5,2,-3,-3,-3,3,-3,3,-3,3,-3,-3,-3,-4,2,-3,-3,4,-4,-4,3,3,-4,3,-2,-6,-4,-4,4,-4,-4,-4,3,-4,-4,-3,-3,-3,-2,-4,-4,-4,-2,-3,-3,-3,-6,3,-4,-4,-3,4,-5,5,-6,-6,-5,2,-3,-4,5,-4,-6,-4,-4,7,-3,-4,-3,-4,-4,-3,-3,-3,-3,-1,-1,-3,-3,-3,4,-3,-2,3,3,-3,-1,-3,-4,-4,-4,-4,-3,-3,-2,-1,-1,-3,3,-4,-3,-3,-3
pidgeot,3,3,5,3,3,-3,3,-4,-4,3,3,3,3,3,3,3,3,-,2,4,2,4,3,5,3,-1,5,-4,3,4,5,3,3,5,3,5,3,-3,3,-4,3,4,3,3,5,1,3,3,3,2,4,3,-3,3,-4,3,4,3,-3,3,5,-4,1,4,4,3,4,-4,3,3,4,3,-3,-6,-6,-6,3,4,5,-4,3,-4,3,3,-3,3,-2,3,5,-4,-2,-6,-5,-3,-8,3,5,3,5,4,4,5,-6,5,5,1,3,5,5,-6,-8,-6,3,5,-4,3,-4,3,-4,3,-3,3,-3,-1,-2,-3,-4,-3,3,-4,-2,3,3,-4,-1,3,3,-4,-4,-6,-4,-5,-4,-2,-1,-5,3,5,-5,-3,-5
rattata,-2,-2,-1,-2,-1,-1,-2,-2,-1,3,5,-4,3,3,-3,3,-3,-2,-,-2,3,-1,3,-3,-2,-1,-2,-2,3,-4,-1,3,-4,-1,-4,-2,-2,-1,-2,-2,3,-3,-2,-2,-2,3,-4,4,-3,2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-2,-2,2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-3,-3,-3,-2,-4,-4,-2,-2,-1,-2,-2,-4,-2,-3,-2,-1,-1,-1,-6,-3,-2,-4,-2,4,-3,-4,-4,-4,-2,-1,-1,-4,-4,-4,-4,-2,-3,-4,-1,-2,-1,-2,-2,-1,-1,-3,-1,-1,-1,-1,-1,-1,4,-1,-2,3,3,-2,-1,-2,-4,-2,-2,-4,-1,-3,-2,-1,-1,-3,3,-3,-1,-1,-1
raticate,3,3,-3,3,3,-3,3,-4,-4,3,3,3,3,3,3,3,3,-4,2,-,2,-3,3,-4,3,-3,3,-4,3,4,-4,3,3,-4,3,-4,3,-2,3,-3,3,4,3,-4,-4,3,-4,3,3,1,-3,3,-3,3,-4,2,-2,3,-4,3,-4,-2,1,-3,-3,3,-2,-2,3,3,-3,-2,-1,-4,-4,-4,3,-3,-4,-4,3,-4,3,3,-3,3,-3,3,-4,-4,-4,-4,-4,-3,-8,3,-4,3,-4,4,4,5,-4,4,-4,1,-2,-4,5,-4,-6,-4,3,-6,-4,3,-3,3,-4,3,-2,3,-3,-2,-3,3,-3,-3,3,-2,-3,3,3,-2,-2,-2,3,-4,-3,-4,-4,-3,-2,-2,-2,-4,3,3,-4,-3,-3
spearow,3,-4,-3,3,-2,-1,-3,-2,-1,3,4,4,3,3,-3,3,-3,-2,-3,-2,-,-1,3,-3,-1,-1,-4,-2,3,-4,-3,3,4,-3,-4,-2,-2,-1,-2,-2,3,-3,3,-4,-4,3,3,3,-3,2,-2,-2,-1,3,-1,-3,-2,3,-1,-3,-3,-2,2,-2,-2,3,-3,-2,3,3,-3,-1,-1,-4,-4,-3,-3,-3,-4,-2,-2,-1,-2,-2,-1,-2,-1,-4,-2,-2,-1,-3,-1,-1,-3,-4,-4,-4,-3,4,-3,5,-4,-4,-4,2,-2,-4,-4,-4,-4,-2,-3,-4,-1,-2,-1,-3,-2,-1,-1,-3,-1,-1,-1,-1,-1,-1,4,-1,-2,3,3,-2,-1,-2,-4,-2,-2,-4,-1,-3,-2,-1,-1,-3,3,-3,-2,-1,-3
fearow,3,3,5,3,3,-3,3,-4,-4,3,3,3,1,3,3,3,3,4,1,3,1,-,3,3,1,-1,5,-4,3,3,5,3,3,-4,3,-4,3,-3,3,4,3,3,3,3,5,1,3,3,3,1,-3,3,-3,3,-4,2,3,3,-4,3,3,-4,1,2,-3,3,3,-4,3,3,3,3,-3,-6,-5,-4,3,4,5,-4,3,-4,3,3,-3,3,-2,3,-4,3,-2,-4,-4,-3,-8,3,-4,3,-4,4,4,3,5,5,5,1,3,-4,5,-4,-6,-4,3,5,-4,3,-4,3,-4,3,-3,3,-3,-2,-1,3,-4,-3,3,-4,-2,3,3,-3,-1,3,3,-4,-4,-4,-4,-5,-3,-2,-2,-4,3,3,-4,-3,-3
ekans,5,-5,-3,-3,-3,-1,-4,-3,-1,3,3,-3,3,5,-3,-3,-3,-3,-3,-3,-3,-3,-,-3,-3,-1,-4,-3,5,-5,-3,4,-5,-3,-4,-3,-3,-1,-4,-2,4,-3,5,-6,-6,1,3,-6,-3,-1,-1,-3,-1,-3,-1,-3,-3,-3,-1,-3,-3,-3,4,-1,-1,-4,-4,-3,4,-3,-3,-1,-1,-2,-2,-2,-3,-3,-4,-4,5,-3,-3,-3,-1,-4,-1,5,-4,-4,-1,-1,-1,-1,-5,-2,-1,-4,-3,6,-5,5,-3,-4,-2,-3,-3,-4,-6,-3,-4,-4,5,-5,-1,-3,-1,-3,-3,-3,-1,-1,-3,-1,-3,-1,-1,-3,6,-1,-1,5,-3,-1,-1,-1,-4,-2,-1,-3,-1,-3,-2,-1,-1,-3,5,-3,-3,-1,-3
arbok,3,5,-7,3,-3,-3,5,-4,-4,3,3,3,3,4,3,3,5,-5,3,4,3,-3,3,-,4,-3,-6,-4,5,5,-6,3,5,-5,5,-6,3,-3,3,-4,3,6,4,5,6,1,3,5,-5,-3,-1,4,-3,5,-3,3,-5,5,-3,4,-5,-4,2,-3,-1,5,-6,-4,3,5,5,3,-3,-2,-2,-2,4,-5,-6,-4,5,-6,-4,3,-3,-4,-4,5,-6,5,-4,-1,-1,-1,-10,-4,-4,5,-6,4,6,5,5,-6,-4,4,5,-6,5,-6,-8,-6,5,5,-3,-4,-3,5,-4,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,-3,-4,3,4,-4,-3,-4,5,-4,-4,-6,-3,-5,-4,-3,-3,-5,3,5,-5,-1,-5
pikachu,-4,-4,-4,3,-4,-3,1,3,3,2,3,3,2,3,3,1,1,-3,2,-3,1,-1,3,-4,-,-3,-4,-2,3,3,-4,3,3,-4,-3,-2,3,-1,-2,-2,1,-3,-4,-4,-4,-4,-4,3,-3,-1,-1,-2,-1,1,3,3,-3,3,-3,2,2,3,3,-3,-3,3,3,-2,-4,-4,-4,-2,-1,-2,-2,-2,-3,-3,1,3,5,-4,1,1,-1,3,3,3,-4,1,3,-4,-3,-3,-4,5,-4,1,1,4,-3,-6,-4,-4,-2,1,3,-4,3,-4,-4,-2,3,-6,-1,1,-2,1,3,1,-1,-3,-1,-1,-3,-3,-2,-1,1,1,-4,3,3,-2,-3,-2,4,3,-2,1,-2,3,-2,-2,-3,-3,4,-4,-4,-1,-3
raichu,3,5,-4,3,3,2,1,1,3,1,1,1,1,1,3,1,1,1,1,3,1,2,1,3,3,-,5,-4,2,3,-6,1,3,-6,3,-4,3,-3,3,3,1,1,3,5,-6,3,5,3,3,1,-1,1,-3,1,1,1,3,3,5,1,1,1,1,4,4,2,3,3,3,5,-4,1,-3,-2,-2,-2,3,4,1,3,3,5,1,1,2,1,3,3,3,1,1,3,-6,-3,5,3,5,1,1,4,5,5,-6,-4,-4,1,1,3,3,3,5,-4,3,6,3,1,1,1,1,1,2,3,2,3,-5,3,3,-3,1,1,3,3,3,3,4,-4,3,1,3,1,1,2,-4,3,5,3,3,4,-4,-3,-3
sandshrew,-1,-1,-1,-3,-3,-1,-1,-1,-1,4,5,-5,4,3,4,4,4,-5,2,-3,4,-5,4,6,4,-5,-,-3,4,6,-1,4,5,-1,3,-3,-3,-1,3,-3,4,6,-2,-1,-1,3,5,6,-5,2,-3,-3,-3,-1,-1,4,4,-3,-1,-1,-1,-1,2,-3,-3,4,-5,-3,-1,-1,-1,-1,-1,-4,-4,-3,-5,-5,-2,-2,4,6,-3,4,-3,-1,-1,5,-5,-1,-1,-3,-3,-1,-7,-3,-3,-3,-1,4,6,-3,-5,7,-7,2,-5,-2,5,-7,-6,-3,4,-3,-2,-1,-1,-1,-1,-1,-1,-3,-3,-1,-5,-1,-3,-3,4,-1,-1,4,4,-1,6,-1,4,-2,-1,-1,-1,-5,-2,-1,6,-5,-3,-1,-1,-3,-1
sandslash,3,-2,-1,4,-3,-3,3,-2,-1,3,3,4,1,3,4,3,4,4,2,4,2,4,3,4,2,4,3,-,3,3,-3,3,4,-3,3,5,-3,-3,3,3,2,4,3,3,-2,3,3,3,4,2,4,2,4,3,-1,2,4,3,-3,-3,-3,-1,2,2,-3,3,3,5,3,-2,-1,-1,-1,3,-4,-4,4,4,-4,-2,3,4,3,4,4,-2,-1,3,5,3,-1,-3,-3,-3,6,3,-5,3,-3,4,4,3,5,5,5,2,4,-4,3,5,5,-4,3,-4,-3,-2,-1,3,-1,-1,-1,4,-5,-1,4,-3,-5,-4,4,-1,-2,3,3,-1,4,-3,3,-2,-2,3,-1,6,-4,-1,6,6,3,-3,-3,-3,-3
nidoran_f,-5,-5,-4,-3,-3,-3,-3,-3,-3,6,7,-3,6,7,-5,-5,-3,-3,-3,-3,-3,-3,-5,-5,-3,-2,-4,-3,-,-5,-3,-5,-5,-3,-4,-3,-3,-1,-4,-3,6,-5,-6,-6,-5,5,-4,-5,-3,-1,-1,-3,-3,-3,-3,-4,-3,-3,-3,-3,-3,-3,4,-1,-1,-4,-3,-3,5,-5,-3,-2,-1,-2,-2,-1,-5,-3,-4,-4,-5,-3,-3,-3,-3,-3,-2,-6,-4,-4,-3,-1,-1,-1,-7,-2,-1,-3,-3,6,-5,-8,-4,-4,-3,-3,-3,-4,-6,-5,-6,-4,-5,-6,-3,-3,-2,-3,-3,-3,-1,-1,-3,-1,-3,-3,-3,-3,6,-1,-3,6,-4,-1,-1,-1,-4,-4,-1,-3,-3,-3,-2,-1,-1,-3,-5,-3,-3,-1,-3
nidorina,5,-6,-5,-4,-3,-3,-4,-3,-3,5,5,-4,3,5,-5,4,-5,-4,4,-4,4,-3,5,-5,-3,-3,-6,-3,5,-,-5,5,6,-5,-6,-4,-3,-3,-4,-4,4,-5,7,7,-6,3,5,-6,-3,-2,-1,-3,-3,-4,-3,-5,-4,-4,-3,-5,-3,-3,4,-2,-1,-6,-6,-4,5,5,-5,-3,-3,-2,-2,-2,-5,-5,-5,-4,5,-5,-3,-3,-3,-4,-3,6,-6,-6,-3,-1,-1,-1,-9,-4,-3,-6,-4,6,-7,7,-6,-4,-4,4,-5,-6,7,-5,-7,-4,-6,-7,-3,-3,-3,-4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6,-3,-3,5,5,-3,-3,-3,-6,-4,-4,-6,-3,-5,-4,-1,-3,-5,5,-5,-3,-1,-3
nidoqueen,3,5,-5,1,4,4,-4,-4,-3,3,3,5,3,3,3,3,4,-5,1,4,3,5,3,6,4,6,1,3,3,5,-,3,5,-3,3,5,3,-3,3,4,3,6,5,5,-6,3,5,3,-5,2,-3,4,-3,3,-3,3,6,3,4,-3,-3,-4,2,-3,-3,3,5,-6,3,5,5,-2,-1,1,1,1,4,4,-4,-4,3,5,5,3,-5,-4,-2,4,5,-4,-3,-3,-3,-3,1,-4,-4,5,-4,4,6,5,7,1,3,2,4,-4,3,5,1,1,3,7,-5,-4,-1,-4,-4,-3,-1,-3,-5,-1,6,4,-5,-4,4,-1,-2,3,3,-2,6,3,3,-2,-2,3,-3,4,-4,-1,7,6,3,-4,-3,-3,-3
