ID,Name,Gender,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Move1,Move2,Move3,Move4
15,スピアー,♂,304,231,149,159,229,219,ダブルニードル,ヘドロばくだん,おいうち,きあいだめ
165,レディバ,♂,268,123,145,163,243,193,すてみタックル,れいとうパンチ,リフレクター,しんぴのまもり
166,レディアン,♂,284,141,169,179,289,239,ギガドレイン,あなをほる,はかいこうせん,ちょうおんぱ
167,イトマル,♂,274,209,169,173,173,151,ヘドロばくだん,きゅうけつ,あなをほる,ナイトヘッド
168,アリアドス,♂,314,251,209,189,189,149,ヘドロばくだん,まもる,どくどく,クモのす
74,イシツブテ,♂,261,236,278,136,136,118,じしん,ころがる,だいばくはつ,まるくなる
75,ゴローン,♂,284,261,299,159,159,139,じしん,ころがる,じばく,すなあらし
76,ゴローニャ,♀,319,276,316,164,184,144,マグニチュード,いわおとし,いわくだき,かたくなる
41,ズバット,♂,274,179,159,153,173,201,つばさでうつ,ギガドレイン,あやしいひかり,どくどく
42,ゴルバット,♀,309,216,196,184,204,234,つばさでうつ,かみつく,はがねのつばさ,くろいきり
169,クロバット,♀,323,228,208,188,208,306,そらをとぶ,かみつく,きゅうけつ,ちょうおんぱ
173,ピィ,♂,294,139,145,183,203,121,ずつき,サイコキネシス,アンコール,てんしのキッス
35,ピッピ,♀,321,166,174,196,206,148,ゆびをふる,かいりき,サイコキネシス,つきのひかり
36,ピクシー,♀,349,196,202,224,234,174,ゆびをふる,ずつき,れいとうパンチ,アンコール
174,ププリン,♂,374,149,119,173,133,121,ずつき,ゆめくい,うたう,てんしのキッス
39,プリン,♀,418,173,125,173,133,123,のしかかり,ころがる,まるくなる,うたう
40,プクリン,♀,447,204,152,212,162,154,すてみタックル,ほのおのパンチ,かなしばり,うたう
175,トゲピー,♂,264,129,219,173,223,131,ずつき,ゆびをふる,メロメロ,てんしのキッス
176,トゲチック,♂,277,144,232,222,272,144,そらをとぶ,すてみタックル,ゆびをふる,あまえる
27,サンド,♂,281,226,248,116,136,158,じしん,きりさく,れんぞくぎり,すなあらし
28,サンドパン,♀,309,256,276,144,164,184,じしん,みだれひっかき,すなかけ,すなあらし
23,アーボ,♂,258,203,173,163,191,193,ヘドロばくだん,じしん,かいりき,へびにらみ
24,アーボック,♀,287,234,200,192,220,224,ヘドロばくだん,かみつく,あなをほる,へびにらみ
206,ノコッチ,♀,367,204,202,192,192,154,かいりき,あなをほる,メロメロ,へびにらみ
179,メリープ,♂,298,163,165,213,173,153,かみなり,ずつき,ひかりのかべ,でんじは
180,モココ,♂,314,181,179,229,189,159,かみなりパンチ,ほのおのパンチ,わたほうし,ひかりのかべ
181,デンリュウ,♀,335,202,202,280,230,160,でんじほう,ばくれつパンチ,スピードスター,フラッシュ
194,ウパー,♂,304,179,179,143,143,121,なみのり,じしん,れいとうパンチ,ドわすれ
195,ヌオー,♀,357,234,232,192,192,134,なみのり,あなをほる,たたきつける,くろいきり
92,ゴース,♂,241,146,138,276,146,238,シャドーボール,サイコキネシス,のろい,あやしいひかり
93,ゴースト,♀,257,164,152,292,172,254,シャドーボール,ギガドレイン,うらみ,みちづれ
94,ゲンガー,♀,275,182,172,310,200,270,ナイトヘッド,どろぼう,あくむ,さいみんじゅつ
201,アンノーン,不,275,230,180,230,182,180,めざめるパワー,,,
95,イワーク,♂,244,161,389,129,159,209,じしん,いわおとし,かいりき,すなあらし
208,ハガネール,♀,303,218,448,158,178,106,アイアンテール,どろかけ,いわおとし,すなあらし
69,マダツボミ,♂,281,226,148,216,136,158,ギガドレイン,ヘドロばくだん,どくどく,せいちょう
70,ウツドン,♂,304,251,169,239,159,179,はっぱカッター,ヘドロばくだん,しびれごな,せいちょう
71,ウツボット,♀,319,266,186,254,174,194,ソーラービーム,ようかいえき,ねむりごな,せいちょう
187,ハネッコ,♂,264,159,169,163,203,191,ギガドレイン,ずつき,やどりぎのタネ,ねむりごな
188,ポポッコ,♂,291,166,178,166,206,238,ソーラービーム,ずつき,こうごうせい,にほんばれ
189,ワタッコ,♀,313,170,198,168,228,280,メガドレイン,ずつき,しびれごな,やどりぎのタネ
46,パラス,♂,258,223,195,173,193,133,ギガドレイン,きりさく,キノコのほうし,せいちょう
47,パラセクト,♀,287,254,222,182,222,124,ギガドレイン,きりさく,れんぞくぎり,キノコのほうし
60,ニョロモ,♂,261,176,158,156,156,258,ハイドロポンプ,のしかかり,さいみんじゅつ,あまごい
61,ニョロゾ,♂,304,201,199,169,169,249,なみのり,いびき,はらだいこ,ねむる
62,ニョロボン,♀,333,218,238,188,228,186,ばくれつパンチ,ハイドロポンプ,おうふくビンタ,こころのめ
186,ニョロトノ,♀,335,202,202,230,250,190,うずしお,こごえるかぜ,ほろびのうた,いばる
129,コイキング,♂,234,109,199,123,133,251,たいあたり,じたばた,はねる,
130,ギャラドス,♀,343,298,206,168,248,208,たきのぼり,りゅうのいかり,たつまき,にらみつける
118,トサキント,♂,271,210,198,146,176,204,なみのり,つのでつく,つのドリル,ちょうおんぱ
119,アズマオウ,♀,323,244,188,188,218,196,たきのぼり,じたばた,つのドリル,ちょうおんぱ
79,ヤドン,♂,361,206,208,156,156,108,なみのり,サイコキネシス,じしん,ドわすれ
80,ヤドラン,♀,353,210,278,258,218,120,なみのり,ねんりき,かなしばり,なきごえ
199,ヤドキング,♀,349,206,216,254,274,114,サイコキネシス,みずでっぽう,かなしばり,なきごえ
43,ナゾノクサ,♂,271,176,188,226,206,138,ギガドレイン,ヘドロばくだん,つきのひかり,しびれごな
44,クサイハナ,♂,294,201,209,239,219,149,ソーラービーム,ヘドロばくだん,ねむりごな,にほんばれ
45,ラフレシア,♀,309,216,226,254,234,154,はなびらのまい,ようかいえき,あまいかおり,どくのこな
182,キレイハナ,♀,309,216,226,234,254,154,はなびらのまい,いあいぎり,どくのこな,メロメロ
96,スリープ,♂,301,172,168,162,256,162,サイコキネシス,ずつき,ゆめくい,さいみんじゅつ
97,スリーパー,♀,329,202,196,200,284,188,ねんりき,ゆめくい,じこあんじ,さいみんじゅつ
63,ケーシィ,♂,231,116,108,286,186,258,サイコキネシス,れいとうパンチ,いばる,メロメロ
64,ユンゲラー,♂,247,134,122,302,202,274,サイコキネシス,かみなりパンチ,リフレクター,スプーンまげ
65,フーディン,♂,269,156,146,324,224,294,サイケこうせん,どろぼう,みらいよち,スプーンまげ
132,メタモン,不,277,172,174,172,172,174,へんしん,,,
204,クヌギダマ,♂,288,213,265,153,153,113,すてみタックル,ギガドレイン,だいばくはつ,まきびし
205,フォレトス,♀,309,236,336,174,174,134,かいりき,ころがる,すなあらし,まきびし
29,ニドラン♀,♀,298,177,189,163,163,165,ずつき,アイアンテール,ふぶき,どくどく
30,ニドリーナ,♀,314,195,203,179,179,181,かいりき,かみつく,ふぶき,どくどく
31,ニドクイン,♀,339,220,230,204,224,206,のしかかり,どろかけ,れいとうパンチ,どくどく
32,ニドラン♂,♂,280,197,165,163,163,183,ずつき,アイアンテール,かみなり,つのドリル
33,ニドリーノ,♂,296,215,183,179,179,199,かいりき,にどげり,かみなり,つのドリル
34,ニドキング,♂,321,240,210,224,204,224,つのでつく,どろかけ,かみなり,つのドリル
193,ヤンヤンマ,♂,304,201,159,219,159,259,ギガドレイン,ずつき,いばる,かげぶんしん
191,ヒマナッツ,♂,254,149,149,153,153,151,ギガドレイン,ヘドロばくだん,メロメロ,せいちょう
192,キマワリ,♀,317,214,172,272,232,124,はっぱカッター,はかいこうせん,どくどく,せいちょう
102,タマタマ,♂,301,156,238,196,166,158,サイコキネシス,ギガドレイン,しびれごな,やどりぎのタネ
103,ナッシー,♀,343,238,218,298,178,156,タマゴばくだん,ねんりき,あくむ,ねむりごな
185,ウソッキー,♀,307,264,292,122,192,124,いわなだれ,あなをほる,かいりき,ものまね
202,ソーナンス,♀,547,130,178,128,178,130,カウンター,ミラーコート,しんぴのまもり,みちづれ
48,コンパン,♂,301,186,178,156,186,168,ヘドロばくだん,サイコキネシス,ちょうおんぱ,しびれごな
49,モルフォン,♀,303,190,180,238,208,238,ヘドロばくだん,サイコキネシス,きゅうけつ,みやぶる
123,ストライク,♀,295,272,212,160,210,260,つばさでうつ,おいうち,スピードスター,きあいだめ
212,ハッサム,♀,295,312,252,160,210,180,メタルクロー,いあいぎり,こうそくいどう,にらみつける
127,カイロス,♀,285,302,252,160,190,220,れんぞくぎり,はさむ,じごくぐるま,きあいだめ
214,ヘラクロス,♀,313,298,198,128,238,216,メガホーン,いわくだき,どろぼう,にらみつける
109,ドガース,♂,261,206,268,196,166,148,ヘドロばくだん,だいもんじ,だいばくはつ,どくどく
110,マタドガス,♀,289,236,296,224,194,174,ヘドロこうげき,でんじほう,じばく,くろいきり
88,ベトベター,♂,341,236,178,156,176,128,ヘドロばくだん,やつあたり,どくどく,いやなおと
89,ベトベトン,♀,365,262,202,180,250,150,ヘドロこうげき,ばくれつパンチ,かなしばり,とける
81,コイル,不,231,146,218,266,186,168,かみなり,やつあたり,ちょうおんぱ,でんじは
82,レアコイル,不,259,176,246,294,194,194,かみなり,スピードスター,フラッシュ,でんじは
100,ビリリダマ,不,261,136,178,186,186,278,かみなり,じばく,ミラーコート,あまごい
101,マルマイン,不,279,156,196,214,214,334,かみなり,スピードスター,ソニックブーム,フラッシュ
190,エイパム,♂,284,211,179,149,179,239,かいりき,かげぶんしん,バトンタッチ,こうそくいどう
209,ブルー,♀,308,243,185,163,163,143,かいりき,シャドーボール,あまえる,いばる
210,グランブル,♀,343,300,208,178,178,150,ずつき,ばくれつパンチ,かみつく,こわいかお
37,ロコン,♀,264,165,165,183,213,213,かえんほうしゃ,あなをほる,あやしいひかり,にほんばれ
38,キュウコン,♀,299,200,198,210,248,246,だいもんじ,でんこうせっか,ほえる,しんぴのまもり
58,ガーディ,♂,284,211,159,209,169,189,かえんほうしゃ,あなをほる,にほんばれ,ほえる
59,ウインディ,♀,325,260,200,240,200,230,かえんぐるま,しんそく,にらみつける,ほえる
234,オドシシ,♀,305,246,180,224,184,224,ふみつけ,ゆめくい,どろかけ,さいみんじゅつ
183,マリル,♂,334,129,189,133,193,171,なみのり,ころがる,まるくなる,いばる
184,マリルリ,♀,367,164,222,162,222,164,たきのぼり,こごえるかぜ,まるくなる,あまごい
50,ディグダ,♂,208,193,135,153,173,273,じしん,きりさく,じわれ,すなかけ
51,ダグトリオ,♀,237,224,162,162,202,304,マグニチュード,きりさく,メロメロ,のろい
56,マンキー,♂,261,236,148,146,166,218,クロスチョップ,かいりき,かげぶんしん,いやなおと
57,オコリザル,♀,289,266,176,174,194,244,クロスチョップ,あばれる,のろい,きあいだめ
52,ニャース,♂,268,173,155,163,163,263,きりさく,だましうち,シャドーボール,いやなおと
53,ペルシアン,♀,297,204,182,192,192,294,ずつき,かみつく,ほえる,なきごえ
54,コダック,♂,281,180,174,206,176,188,なみのり,あなをほる,いばる,じこあんじ[2]
55,ゴルダック,♀,313,212,204,238,208,216,ハイドロポンプ,みだれひっかき,ねんりき,じこあんじ
66,ワンリキー,♂,321,236,178,146,146,148,クロスチョップ,ちきゅうなげ,じしん,かげぶんしん
67,ゴーリキー,♂,327,264,202,162,182,154,あてみなげ,かいりき,あなをほる,みやぶる
68,カイリキー,♀,337,312,212,182,222,160,じごくぐるま,ほのおのパンチ,かみなりパンチ,こわいかお
236,バルキー,♂,264,159,159,163,163,161,いわくだき,かいりき,かげぶんしん,メロメロ
106,サワムラー,♂,263,300,164,128,278,234,とびひざげり,メガトンキック,きしかいせい,ヨガのポーズ
107,エビワラー,♂,263,270,216,128,278,212,マッハパンチ,かいりき,れいとうパンチ,カウンター
237,カポエラー,♂,283,270,268,148,298,220,トリプルキック,かいりき,きあいだめ,カウンター
203,キリンリキ,♀,299,216,186,234,184,224,サイケこうせん,ふみつけ,かみくだく,こうそくいどう
128,ケンタロス,♂,309,256,246,134,194,274,とっしん,おいうち,いわくだき,こわいかお
241,ミルタンク,♀,349,216,266,134,194,254,ふみつけ,れいとうパンチ,いやしのすず,がまん
240,ブビィ,♂,264,221,143,209,179,235,かえんほうしゃ,アイアンテール,あやしいひかり,にほんばれ
126,ブーバー,♂,289,246,170,254,224,240,ほのおのパンチ,スモッグ,えんまく,あやしいひかり
238,ムチュール,♀,271,136,108,246,206,208,サイコキネシス,ふぶき,うたう,てんしのキッス
124,ルージュラ,♀,289,156,126,284,244,244,れいとうパンチ,ねんりき,したでなめる,くろいまなざし
239,エレキッド,♂,264,197,143,199,179,259,10まんボルト,ずつき,いやなおと,ひかりのかべ
125,エレブー,♂,289,222,170,244,224,264,かみなりパンチ,スピードスター,ひかりのかべ,にらみつける
122,バリヤード,♀,239,146,186,254,294,234,サイケこうせん,バリアー,バトンタッチ,みがわり
235,ドーブル,♂,304,129,159,133,183,241,のしかかり,マッハパンチ,かえんほうしゃ,あやしいひかり
83,カモネギ,♂,278,201,179,185,193,189,きりさく,そらをとぶ,はがねのつばさ,つるぎのまい
177,ネイティ,♂,261,176,168,216,166,218,サイコキネシス,みらいよち,ナイトヘッド,あやしいひかり
178,ネイティオ,♀,289,206,196,244,194,244,そらをとぶ,みらいよち,ナイトヘッド,フラッシュ
211,ハリーセン,♀,297,254,212,172,172,234,ヘドロばくだん,ハイドロポンプ,ミサイルばり,ちいさくなる
72,メノクラゲ,♂,261,156,148,176,276,218,なみのり,ヘドロばくだん,ふぶき,いやなおと
73,ドククラゲ,♀,313,188,178,208,288,246,バブルこうせん,ヘドロばくだん,まきつく,バリアー
98,クラブ,♂,241,286,258,126,126,178,クラブハンマー,かいりき,ふぶき,ハサミギロチン
99,キングラー,♀,269,316,286,154,154,204,クラブハンマー,はさむ,ハサミギロチン,にらみつける
213,ツボツボ,♀,207,84,522,82,522,74,ヘドロばくだん,ころがる,がまん,すなあらし
120,ヒトデマン,不,241,166,188,216,186,248,サイコキネシス,ハイドロポンプ,かみなり,じこさいせい
121,スターミー,不,273,198,218,248,218,276,たきのぼり,でんじほう,こうそくスピン,かたくなる
90,シェルダー,♂,241,206,278,166,126,158,なみのり,れいとうビーム,スピードスター,ちょうおんぱ
91,パルシェン,♀,253,238,408,218,138,186,からではさむ,オーロラビーム,とげキャノン,からにこもる
222,サニーゴ,♀,284,181,239,199,239,139,なみのり,げんしのちから,ミラーコート,メロメロ
223,テッポウオ,♂,258,213,155,213,153,213,なみのり,れいとうビーム,はかいこうせん,ロックオン
224,オクタン,♀,309,266,206,264,204,144,オクタンほう,はかいこうせん,きあいだめ,ロックオン
170,チョンチー,♂,331,152,154,188,188,212,なみのり,かみなり,あまごい,あやしいひかり
171,ランターン,♀,409,172,172,206,206,188,ハイドロポンプ,スパーク,じたばた,ちょうおんぱ
86,パウワウ,♂,311,166,188,166,216,168,なみのり,れいとうビーム,ずつき,しんぴのまもり
87,ジュゴン,♀,339,196,216,194,244,194,たきのぼり,オーロラビーム,ねごと,ねむる
108,ベロリンガ,♂,354,181,219,189,219,129,はかいこうせん,シャドーボール,なみのり,ちょうおんぱ
114,モンジャラ,♀,297,174,292,262,142,184,ギガドレイン,どろぼう,ねむりごな,せいちょう
133,イーブイ,♂,291,186,178,166,206,188,とっしん,アイアンテール,シャドーボール,すなかけ
134,シャワーズ,♂,413,178,168,268,238,176,たきのぼり,でんこうせっか,とける,すなかけ
135,サンダース,♂,283,178,168,268,238,306,でんじほう,ミサイルばり,にどげり,すなかけ
136,ブースター,♂,283,308,168,238,268,176,だいもんじ,スモッグ,でんこうせっか,しっぽをふる
196,エーフィ,♂,283,178,168,308,238,266,サイケこうせん,スピードスター,しっぽをふる,じこあんじ
197,ブラッキー,♂,343,178,268,168,308,176,だましうち,でんこうせっか,すなかけ,くろいまなざし
116,タッツー,♂,248,163,225,223,133,203,ハイドロポンプ,ふぶき,あまごい,えんまく
117,シードラ,♀,277,194,252,252,152,234,なみのり,りゅうのいぶき,スピードスター,えんまく
230,キングドラ,♀,303,238,238,238,238,216,たきのぼり,たつまき,やつあたり,にらみつける
207,グライガー,♀,297,214,272,132,192,234,きりさく,だましうち,ハサミギロチン,すなかけ
225,デリバード,♂,271,186,168,206,166,228,プレゼント,ふぶき,そらをとぶ,かげぶんしん
220,ウリムー,♂,294,189,169,153,153,191,ふぶき,じしん,かいりき,しろいきり
221,イノムー,♀,363,260,218,178,178,160,こごえるかぜ,じしん,みだれづき,しろいきり
216,ヒメグマ,♂,301,236,178,176,176,158,きりさく,だましうち,じしん,メロメロ
217,リングマ,♀,335,312,202,200,200,160,あなをほる,ほのおのパンチ,いびき,ねむる
231,ゴマゾウ,♂,361,196,198,156,156,158,じしん,すてみタックル,かげぶんしん,いばる
232,ドンファン,♀,335,292,292,170,170,150,じしん,こうそくスピン,すなあらし,なきごえ
226,マンタイン,♀,289,136,196,214,334,194,つばさでうつ,たきのぼり,とっしん,ちょうおんぱ
227,エアームド,♀,289,216,336,134,194,194,はがねのつばさ,そらをとぶ,みだれづき,こうそくいどう
84,ドードー,♂,251,246,168,146,146,228,ドリルくちばし,トライアタック,はがねのつばさ,かげぶんしん
85,ドードリオ,♀,279,276,196,174,174,254,そらをとぶ,トライアタック,おいうち,なきごえ
77,ポニータ,♀,267,234,172,192,192,244,だいもんじ,ずつき,アイアンテール,にほんばれ
78,ギャロップ,♀,285,252,192,210,210,260,ほのおのうず,ふみつけ,メロメロ,どくどく
104,カラカラ,♂,281,176,268,156,176,148,ホネブーメラン,ずつき,こごえるかぜ,きあいだめ
105,ガラガラ,♀,287,224,282,162,222,154,ボーンラッシュ,あばれる,かみなりパンチ,きあいだめ
115,ガルーラ,♀,369,246,216,134,214,234,ピヨピヨパンチ,かみつく,なみのり,にらみつける
111,サイホーン,♂,341,246,268,136,136,128,じしん,ころがる,アイアンテール,こわいかお
112,サイドン,♀,369,316,296,144,144,134,あなをほる,ふみつけ,でんじほう,こわいかお
198,ヤミカラス,♀,287,234,146,232,146,246,だましうち,そらをとぶ,ナイトヘッド,くろいきり
228,デルビル,♂,271,196,138,236,176,208,かえんほうしゃ,かみくだく,ヘドロばくだん,にほんばれ
229,ヘルガー,♀,305,232,152,270,210,240,ひのこ,かみつく,スピードスター,ほえる
218,マグマッグ,♂,274,169,169,233,173,131,かえんほうしゃ,いわなだれ,のしかかり,ドわすれ
219,マグカルゴ,♀,267,164,302,222,222,124,だいもんじ,いわなだれ,スモッグ,ドわすれ
215,ニューラ,♀,277,254,172,132,212,294,れいとうパンチ,ふくろだたき,きりさく,いやなおと
200,ムウマ,♀,287,184,182,232,232,234,シャドーボール,かみなり,サイコウェーブ,いたみわけ
137,ポリゴン,不,304,191,209,239,219,149,トライアタック,ふぶき,かくばる,テクスチャー2
233,ポリゴン2,不,323,208,228,258,238,166,スピードスター,でんじほう,どろぼう,テクスチャー
113,ラッキー,♀,659,66,66,124,264,154,タマゴばくだん,ふぶき,ゆめくい,うたう
242,ハピナス,♀,663,68,68,198,318,156,タマゴばくだん,かみなり,まるくなる,フラッシュ
131,ラプラス,♀,413,218,208,218,238,166,うずしお,こごえるかぜ,ほろびのうた,しろいきり
138,オムナイト,♂,244,151,269,249,179,139,なみのり,げんしのちから,ふぶき,まもる
139,オムスター,♂,299,176,306,284,194,164,みずでっぽう,げんしのちから,とげキャノン,かみつく
140,カブト,♂,234,231,249,179,159,179,ころがる,ギガドレイン,ふぶき,メロメロ
141,カブトプス,♂,279,286,266,184,194,214,げんしのちから,なみのり,にらみつける,こらえる
142,プテラ,♂,309,254,174,164,194,302,げんしのちから,かみつく,のろい,ちょうおんぱ
143,カビゴン,♂,473,268,178,178,268,106,ずつき,ほのおのパンチ,まるくなる,のろい
1,フシギダネ,♂,271,174,176,206,206,168,はっぱカッター,ずつき,どくどく,せいちょう
2,フシギソウ,♂,287,188,188,222,222,184,ソーラービーム,れんぞくぎり,やどりぎのタネ,にほんばれ
3,フシギバナ,♂,313,212,214,248,248,206,ギガドレイン,たいあたり,どくのこな,なきごえ
4,ヒトカゲ,♂,259,180,164,196,176,208,かえんほうしゃ,きりさく,りゅうのいぶき,にほんばれ
5,リザード,♂,283,192,178,222,192,224,だいもんじ,かいりき,あなをほる,えんまく
6,リザードン,♂,309,216,204,266,218,246,ほのおのパンチ,つばさでうつ,なきごえ,こわいかお
7,ゼニガメ,♂,269,172,208,176,204,164,なみのり,かみつく,ふぶき,あまごい
8,カメール,♂,285,190,222,192,222,180,たきのぼり,こごえるかぜ,あなをほる,こうそくスピン
9,カメックス,♂,311,214,248,218,258,202,ハイドロポンプ,こうそくスピン,どろかけ,からにこもる
144,フリーザー,不,320,205,235,225,285,205,ふぶき,つつく,こうそくいどう,しろいきり
145,サンダー,不,320,215,205,285,215,235,かみなり,いわくだき,フラッシュ,みきり
146,ファイヤー,不,320,235,215,285,205,215,だいもんじ,ゴッドバード,ほえる,こらえる
243,ライコウ,不,323,208,188,268,238,268,スパーク,でんこうせっか,フラッシュ,ほえる
244,エンテイ,不,370,265,205,215,185,235,だいもんじ,いわくだき,にらみつける,ほえる
245,スイクン,不,343,188,268,218,268,208,バブルこうせん,かぜおこし,しろいきり,ほえる
147,ミニリュウ,♂,263,204,168,176,176,178,げきりん,ずつき,しんぴのまもり,でんじは
148,ハクリュー,♀,289,232,192,202,202,204,げきりん,たたきつける,だいもんじ,でんじは
149,カイリュー,♀,325,306,228,238,238,198,たつまき,つばさでうつ,りゅうのいかり,にらみつける
246,ヨーギラス,♂,288,211,185,173,183,165,いわなだれ,じしん,はかいこうせん,いばる
247,サナギラス,♀,307,232,202,192,202,166,いわなだれ,あなをほる,はかいこうせん,いやなおと
248,バンギラス,♀,343,306,258,228,238,160,かみつく,どろかけ,にらみつける,すなあらし
151,ミュウ,不,310,205,205,205,205,205,サイコキネシス,げんしのちから,ゆびをふる,フラッシュ
251,セレビィ,不,310,205,205,205,205,205,ギガドレイン,げんしのちから,みらいよち,いやしのすず
