ID,Name,HP,Attack,Defense,Speed,Special,Move1,Move2,Move3,Move4
40,プクリン,227,101,77,77,82,うたう,かいりき,まるくなる,サイコキネシス
41,ズバット,127,76,67,87,72,あやしいひかり,メガドレイン,どくどく,すてみタックル
42,ゴルバット,162,111,102,122,107,あやしいひかり,メガドレイン,つばさでうつ,くろいきり
43,ナゾノクサ,132,81,87,62,107,しびれごな,どくどく,メガドレイン,すてみタックル
44,クサイハナ,147,96,102,72,117,つるぎのまい,すてみタックル,すいとる,どくのこな
45,ラフレシア,162,111,117,82,132,ねむりごな,はなびらのまい,がまん,はかいこうせん
46,パラス,122,101,87,57,87,キノコのほうし,きりさく,リフレクター,メガドレイン
47,パラセクト,147,126,112,62,112,キノコのほうし,あなをほる,つるぎのまい,すてみタックル
48,コンパン,147,86,82,77,72,サイコキネシス,メガドレイン,リフレクター,しびれごな
49,モルフォン,157,96,92,122,122,しびれごな,ちょうおんぱ,サイコキネシス,どくどく
50,ディグダ,97,86,57,127,77,じしん,きりさく,じわれ,いわなだれ
51,ダグトリオ,122,111,82,152,102,あなをほる,すなかけ,どくどく,はかいこうせん
52,ニャース,127,76,67,122,72,きりさく,かみなり,バブルこうせん,ものまね
53,ペルシアン,152,101,92,147,97,10まんボルト,かげぶんしん,ネコにこばん,きりさく
54,コダック,137,83,80,87,82,なみのり,ねんりき,あなをほる,ふぶき
55,ゴルダック,167,113,110,117,112,れいとうビーム,なみのり,どくどく,スピードスター
56,マンキー,127,111,67,102,67,じごくぐるま,あなをほる,ちきゅうなげ,ゆびをふる
57,オコリザル,152,136,92,127,92,ちきゅうなげ,いわなだれ,メガトンキック,けたぐり
58,ガーディ,142,101,77,92,82,かえんほうしゃ,のしかかり,リフレクター,りゅうのいかり
59,ウインディ,177,141,112,127,112,あなをほる,とっしん,だいもんじ,こうそくいどう
60,ニョロモ,127,81,72,122,72,のしかかり,ふぶき,なみのり,さいみんじゅつ
61,ニョロゾ,152,96,97,122,82,ドわすれ,どくどく,すてみタックル,サイコキネシス
62,ニョロボン,177,116,127,102,102,さいみんじゅつ,じごくぐるま,カウンター,バブルこうせん
63,ケーシィ,112,51,47,122,137,サイコキネシス,ちきゅうなげ,リフレクター,どくどく
64,ユンゲラー,127,66,62,137,152,サイケこうせん,でんじは,じこさいせい,ちきゅうなげ
65,フーディン,142,81,77,152,167,サイケこうせん,じこさいせい,スプーンまげ,あなをほる
66,ワンリキー,157,111,82,67,67,じごくぐるま,ゆびをふる,じしん,かいりき
67,ゴーリキー,167,131,102,77,82,あなをほる,メガトンキック,いわなだれ,じわれ
68,カイリキー,177,161,112,87,97,からてチョップ,けたぐり,カウンター,ちきゅうなげ
69,マダツボミ,137,106,67,72,102,まきつく,どくどく,メガドレイン,たたきつける
70,ウツドン,152,121,82,87,117,はっぱカッター,せいちょう,しびれごな,いあいぎり
71,ウツボット,167,136,97,102,132,ねむりごな,はっぱカッター,リフレクター,ものまね
72,メノクラゲ,127,71,67,102,132,なみのり,ちょうおんぱ,ようかいえき,どくどく
73,ドククラゲ,167,101,97,132,152,まきつく,どくどく,ハイドロポンプ,いあいぎり
74,イシツブテ,127,111,132,52,62,とっしん,かいりき,いわなだれ,だいばくはつ
75,ゴローン,142,126,147,67,77,じばく,じしん,ちきゅうなげ,ゆびをふる
76,ゴローニャ,167,141,162,77,87,いわおとし,メガトンパンチ,あなをほる,じばく
77,ポニータ,137,116,87,122,97,だいもんじ,こうそくいどう,つのドリル,のしかかり
78,ギャロップ,152,131,102,137,112,ふみつけ,だいもんじ,どくどく,ほのおのうず
79,ヤドン,177,96,97,47,72,なみのり,サイコキネシス,でんじは,フラッシュ
80,ヤドラン,182,106,142,62,112,サイコキネシス,なみのり,あなをほる,がまん
81,コイル,112,66,102,77,127,10まんボルト,どくどく,ちょうおんぱ,すてみタックル
82,レアコイル,137,91,127,102,152,でんじは,フラッシュ,かみなり,スピードスター
83,カモネギ,139,96,87,92,90,きりさく,すなかけ,こうそくいどう,そらをとぶ
84,ドードー,122,116,77,107,67,ドリルくちばし,ゴッドバード,とっしん,リフレクター
85,ドードリオ,147,141,102,132,92,そらをとぶ,トライアタック,はかいこうせん,みだれづき
86,パウワウ,152,76,87,77,102,れいとうビーム,かいりき,とっしん,なみのり
87,ジュゴン,177,101,112,102,127,ずつき,オーロラビーム,なみのり,つのドリル
88,ベトベター,167,111,82,57,72,ちいさくなる,のしかかり,だいばくはつ,だいもんじ
89,ベトベトン,192,136,107,82,97,ヘドロこうげき,10まんボルト,メガドレイン,じばく
90,シェルダー,117,96,132,72,77,ふぶき,だいばくはつ,どくどく,トライアタック
91,パルシェン,137,126,212,102,117,からではさむ,じばく,とげキャノン,れいとうビーム
92,ゴース,117,66,62,112,132,さいみんじゅつ,ゆめくい,サイコキネシス,あやしいひかり
93,ゴースト,132,81,77,127,147,メガドレイン,10まんボルト,ものまね,サイコキネシス
94,ゲンガー,147,96,92,142,162,あやしいひかり,ナイトヘッド,じばく,ゆびをふる
95,イワーク,122,76,192,102,62,あなをほる,しめつける,すてみタックル,だいばくはつ
96,スリープ,147,79,77,74,122,さいみんじゅつ,すてみタックル,サイコキネシス,フラッシュ
97,スリーパー,172,104,102,99,147,さいみんじゅつ,ゆめくい,どくガス,サイコキネシス
98,クラブ,117,136,122,82,57,クラブハンマー,つるぎのまい,すてみタックル,れいとうビーム
99,キングラー,142,161,147,107,82,ハサミギロチン,のしかかり,なみのり,にらみつける
100,ビリリダマ,127,61,82,132,87,10まんボルト,でんじは,かげぶんしん,だいばくはつ
101,マルマイン,147,81,102,172,112,スピードスター,でんじは,かみなり,だいばくはつ
102,タマタマ,147,71,112,72,92,やどりぎのタネ,しびれごな,タマゴばくだん,だいばくはつ
103,ナッシー,182,126,117,87,157,やどりぎのタネ,じばく,サイコキネシス,どくどく
104,カラカラ,137,81,127,67,72,ホネこんぼう,あばれる,れいとうビーム,あなをほる
105,ガラガラ,147,111,142,77,82,ホネブーメラン,いかり,きあいだめ,ちきゅうなげ
106,サワムラー,137,151,85,119,67,まわしげり,とびげり,とびひざげり,メガトンキック
107,エビワラー,137,136,111,108,67,ほのおのパンチ,かみなりパンチ,れいとうパンチ,れんぞくパンチ
108,ベロリンガ,177,86,107,62,92,ちょうおんぱ,メガトンキック,じしん,10まんボルト
109,ドガース,127,96,127,67,92,ヘドロこうげき,どくどく,10まんボルト,だいばくはつ
110,マタドガス,152,121,152,92,117,ヘドロこうげき,じばく,くろいきり,かみなり
111,サイホーン,167,116,127,57,62,のしかかり,じしん,かみなり,だいもんじ
112,サイドン,192,161,152,72,77,つのドリル,あなをほる,バブルこうせん,じしん
113,ラッキー,337,36,37,82,137,うたう,ちいさくなる,すてみタックル,リフレクター
114,モンジャラ,152,86,147,92,132,ねむる,せいちょう,メガドレイン,かげぶんしん
115,ガルーラ,192,126,112,122,72,ピヨピヨパンチ,いわなだれ,なみのり,10まんボルト
116,タッツー,117,71,102,92,102,なみのり,どくどく,えんまく,れいとうビーム
117,シードラ,142,96,127,117,127,えんまく,ハイドロポンプ,スピードスター,とっしん
118,トサキント,132,98,92,95,82,なみのり,どくどく,つのドリル,れいとうビーム
119,アズマオウ,167,123,97,100,112,たきのぼり,つのドリル,ちょうおんぱ,ロケットずつき
120,ヒトデマン,117,76,87,117,102,10まんボルト,じこさいせい,なみのり,サイコウェーブ
121,スターミー,147,106,117,147,132,ハイドロポンプ,かみなり,じこさいせい,サイコウェーブ
122,バリヤード,127,76,97,122,132,バリアー,サイコキネシス,ゆびをふる,カウンター
123,ストライク,157,141,112,137,87,きあいだめ,はかいこうせん,つるぎのまい,スピードスター
124,ルージュラ,152,81,67,127,127,あくまのキッス,れいとうパンチ,サイコキネシス,バブルこうせん
125,エレブー,152,114,89,137,117,かみなりパンチ,でんこうせっか,でんじは,ちきゅうなげ
126,ブーバー,152,126,89,125,117,あやしいひかり,ほのおのパンチ,えんまく,サイコキネシス
127,カイロス,152,156,132,117,87,きりさく,どくどく,しめつける,ハサミギロチン
128,ケンタロス,162,131,127,142,102,ふみつけ,ねむる,じわれ,いかり
129,コイキング,107,41,87,112,52,はねる,たいあたり,,
130,ギャラドス,182,156,111,113,132,10まんボルト,ハイドロポンプ,とっしん,がまん
131,ラプラス,217,116,112,92,127,あやしいひかり,うたう,のしかかり,10まんボルト
132,メタモン,135,79,80,80,80,へんしん,,,
133,イーブイ,142,86,82,87,97,どくどく,のしかかり,すなかけ,すてみタックル
134,シャワーズ,217,96,92,97,142,とける,オーロラビーム,なみのり,すてみタックル
135,サンダース,152,96,92,162,142,10まんボルト,どくどく,ミサイルばり,すてみタックル
136,ブースター,152,161,92,97,142,ほのおのうず,だいもんじ,どくどく,すてみタックル
137,ポリゴン,152,91,102,72,107,テクスチャー,すてみタックル,じこさいせい,でんじは
138,オムナイト,122,71,132,67,122,ふぶき,なみのり,すてみタックル,リフレクター
139,オムスター,157,91,157,87,147,ハイドロポンプ,ちきゅうなげ,とげキャノン,すてみタックル
140,カブト,117,111,122,87,77,きりさく,どくどく,れいとうビーム,リフレクター
141,カブトプス,147,146,137,112,102,ハイドロポンプ,つるぎのまい,メガトンキック,かげぶんしん
142,プテラ,167,136,97,162,92,ちょうおんぱ,とっしん,はかいこうせん,そらをとぶ
143,カビゴン,247,141,97,62,97,ドわすれ,のしかかり,ゆびをふる,じばく
144,フリーザー,177,116,132,117,157,どくどく,れいとうビーム,つつく,バブルこうせん
145,サンダー,177,121,117,132,157,どくどく,でんきショック,でんじは,そらをとぶ
146,ファイヤー,177,131,122,122,157,ほのおのうず,だいもんじ,はかいこうせん,そらをとぶ
147,ミニリュウ,128,95,77,82,82,はかいこうせん,ふぶき,10まんボルト,かげぶんしん
148,ハクリュー,148,115,97,102,102,どくどく,れいとうビーム,でんじは,はかいこうせん
149,カイリュー,178,165,127,112,132,でんじは,なみのり,はかいこうせん,りゅうのいかり
