index,mon_name,normal,fire,water,grass,electric,ice,psychic,bug,fighting,flying,poison,ground,rock,ghost,dragon
57,primeape,100,,,,95,,,,64,,,50,67.5,,
58,growlithe,100,102,,,,,,,,,,50,,,
59,arcanine,100,102,,,,,,,,,,50,,,
60,poliwag,100,,96,,,108,90,,,,,,,,
61,poliwhirl,100,,96,,,108,90,,64,,,100,,,
62,poliwrath,100,,96,,,108,90,,64,,,100,,,
63,abra,100,,,,,,90,,64,,,,,,
64,kadabra,100,,,,,,90,,64,,,50,,,
65,alakazam,100,,,,,,90,,64,,,50,,,
66,machop,100,102,,,,,,,64,,,100,67.5,,
67,machoke,100,102,,,,,,,64,,,100,67.5,,
68,machamp,100,102,,,,,,,64,,,100,67.5,,
69,bellsprout,100,,,60,,,,,,,40,,,,
70,weepinbell,100,,,60,,,,,,,40,,,,
71,victreebel,100,,,60,,,,,,,40,,,,
72,tentacool,100,,96,40,,108,,,,,40,,,,
73,tentacruel,100,,96,40,,108,,,,,40,,,,
74,geodude,170,102,,,,,,,64,,,100,67.5,,
75,graveler,170,102,,,,,,,64,,,100,67.5,,
76,golem,170,102,,,,,,,64,,,100,67.5,,
77,ponyta,100,102,,,,,,,,,,,,,
78,rapidash,100,102,,,,,,,,,,,,,
79,slowpoke,100,102,95,,,108,90,,,,,100,,,
80,slowbro,100,102,95,,,108,90,,64,,,100,,,
81,magnemite,100,,,,95,,,,,,,,,,
82,magneton,100,,,,95,,,,,,,,,,
83,farfetchd,100,,,,,,,,,35,,,,,
84,doduo,100,,,,,,,,,80,,,,,
85,dodrio,100,,,,,,,,,80,,,,,
86,seel,100,,95,,,108,,,,,,,,,
87,dewgong,100,,95,,,108,,,,,,,,,
88,grimer,170,102,,40,95,,,,,,65,,,,
89,muk,170,102,,40,95,,,,,,65,,,,
90,shellder,100,,95,108,,,,,,,,,,,
91,cloyster,100,,95,108,,,,,,,,,,,
92,gastly,170,,,40,95,,100,,,,,,,20,
93,haunter,170,,,40,95,,100,,,,,,,20,
94,gengar,170,,,40,95,,100,,64,,,,,20,
95,onix,170,,,,,,,,,,,100,67.5,,
96,drowzee,100,,,,,,100,,64,,,,,,
97,hypno,100,,,,,,100,,64,,,,,,
98,krabby,100,,95,,,108,,,,,,,,,
99,kingler,100,,95,,,108,,,,,,,,,
100,voltorb,170,,,,95,,,,,,,,,,
101,electrode,170,,,,95,,,,,,,,,,
102,exeggcute,170,,,60,,,90,,,,,,,,
103,exeggcutor,170,,,60,,,90,,,,,,,,
104,cubone,100,102,65,,,108,,,64,,,100,,,
105,marowak,100,102,65,,,108,,,64,,,100,,,
106,hitmonlee,100,,,,,,,,76.5,,,,,,
107,hitmonchan,100,75,,,75,75,,,64,,,,,,
108,lickitung,100,102,95,,95,108,,,64,,,100,,,
109,koffing,170,102,,,95,108,,,,,65,,,,
110,weezing,170,102,,,95,108,,,,,65,,,,
111,rhyhorn,100,102,,,95,,,,,,,100,67.5,,
112,rhydon,100,102,95,,95,108,,,64,,,100,67.5,,
113,chansey,100,102,65,60,95,108,90,,64,,,,,,
114,tangela,100,,,60,,,,,,,,,,,
115,kangaskhan,100,102,95,,95,108,,,64,,,100,67.5,,
116,horsea,100,,96,,,108,,,,,,,,,
117,seadra,100,,96,,,108,,,,,,,,,
118,goldeen,100,,96,,,108,,,,,,,,,
119,seaking,100,,96,,,108,,,,,,,,,
120,staryu,100,,96,,95,108,90,,,,,,,,
121,starmie,100,,96,,95,108,90,,,,,,,,
122,mr. mime,100,,,60,95,,90,,64,,,,,,
123,scyther,100,,,,,,,,,35,,,,,
124,jynx,100,,65,,,108,90,,64,,,,,20,
125,electabuzz,100,,,,95,,90,,64,,,,,,
126,magmar,100,102,,,,,90,,64,,14,,,,
127,pinsir,100,,,,,,,,64,,,,,,
128,tauros,100,102,,,95,108,,,,,,100,,,
129,magikarp,35,,,,,,,,,,,,,,
130,gyarados,100,102,96,,95,108,,,,,,,,,
131,lapras,100,,96,60,95,108,90,,,,,,,,
132,ditto,,,,,,,,,,,,,,,
133,eevee,100,,,,,,,,,,,,,,
134,vaporeon,100,,96,,,108,,,,,,,,,
135,jolteon,100,,,,95,,,45,60,,,,,,
136,flareon,100,102,,,,,,,,,20,,,,
137,porygon,100,,,,95,108,90,,,,,,,,
138,omanyte,100,,96,,,108,,,,,,,,,
139,omastar,100,,96,,,108,,,64,,,,,,
140,kabuto,100,,96,20,,108,,,,,,,,,
141,kabutops,100,,96,20,,108,,,64,,,,,,
142,aerodactyl,100,102,,,,,,,,63,,,,,
143,snorlax,130,102,95,60,95,108,90,,64,,,100,67.5,,
144,articuno,100,,65,,,108,,,,63,,,,,
145,zapdos,100,,,,95,,,,,80,,,,,
146,moltres,100,102,,,,,,,,63,,,,,
147,dratini,100,102,95,,95,108,,,,,,,,,
148,dragonair,100,102,95,,95,108,,,,,,,,,
149,dragonite,100,102,95,,95,108,,,,,,,,,
150,mewtwo,100,102,65,60,95,108,90,,64,,,,,,
151,mew,100,102,95,60,95,108,100,,64,63,,100,67.5,,
